tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0086014,1984,Golden Raven,,True,False,Nightmares,nm0765121,Joseph Sargent,Nightmares,1983.0,Others,33856582
tt0087050,1984,Best Fantasy Film,,True,True,Children of the Corn,nm0452607,Fritz Kiersch,Children of the Corn,1984.0,Others,72574580
tt0086541,1984,Best Science-Fiction Film,,True,True,Videodrome,nm0000343,David Cronenberg,Videodrome,1983.0,Others,11069947
tt0087175,1985,Golden Raven,,True,False,Dreamscape,nm0747849,Joseph Ruben,Dreamscape,1984.0,Action,59400452
tt0087015,1985,Best Fantasy Film,,True,True,C.H.U.D.,nm0154877,Douglas Cheek,C.H.U.D.,1984.0,Others,22764181
tt0082677,1985,Best Science-Fiction Film,,True,True,Looker,nm0000341,Michael Crichton,Looker,1981.0,Drama,8980383
tt0089569,1986,Silver Raven,,True,True,Maxie,nm0007477,Paul Aaron,Maxie,1985.0,Others,12101497
tt0091818,1987,Golden Raven,,True,False,Radioactive Dreams,nm0089502,Albert Pyun,Radioactive Dreams,1986.0,Action,1020513
tt0090644,1988,Golden Raven,,True,False,Anguish,nm0000940,Bigas Luna,Anguish,1988.0,Others,505329
tt0093605,1988,Silver Raven,,True,True,Near Dark,nm0000941,Kathryn Bigelow,Near Dark,1987.0,Action,14935293
tt0093560,1988,Silver Raven,,True,True,The Monster Squad,nm0215269,Fred Dekker,The Monster Squad,1987.0,Action,16842891
tt0098061,1989,Golden Raven,,True,False,Paperhouse,nm0741262,Bernard Rose,Paperhouse,1989.0,Drama,1014113
tt0096426,1989,Silver Raven,,True,True,Waxwork,nm0382776,Anthony Hickox,Waxwork,1988.0,Others,3500201
tt0099740,1991,Silver Raven,,True,True,Hardware,nm0822582,Richard Stanley,Hardware,1990.0,Others,22065146
tt0099763,1991,Silver Raven,,True,True,Henry: Portrait of a Serial Killer,nm0573796,John McNaughton,Henry: Portrait of a Serial Killer,1990.0,Others,2349189
tt0098622,1991,Pegasus Audience Award,,True,True,Warlock,nm0591171,Steve Miner,Warlock,1991.0,Action,34532968
tt0102035,1992,Silver Raven,,True,True,Highway 61,nm0567680,Bruce McDonald,Highway 61,1992.0,Others,534260
tt0105569,1992,Silver Raven,,True,True,Tetsuo II: Body Hammer,nm0875354,Shin'ya Tsukamoto,Tetsuo II: Body Hammer,1997.0,Others,4052
tt0105121,1992,Pegasus Audience Award,,True,True,The People Under the Stairs,nm0000127,Wes Craven,The People Under the Stairs,1991.0,Others,103019054
tt0106308,1993,Golden Raven,,True,False,Army of Darkness,nm0000600,Sam Raimi,Army of Darkness,1993.0,Others,41084032
tt0107529,1993,Silver Raven,,True,True,Matinee,nm0001102,Joe Dante,Matinee,1993.0,Others,34167072
tt0104409,1993,Pegasus Audience Award,,True,True,Hellraiser III: Hell on Earth,nm0382776,Anthony Hickox,Hellraiser III: Hell on Earth,1992.0,Others,45340187
tt0106963,1994,Golden Raven,,True,False,Frauds,nm0254632,Stephan Elliott,Frauds,1993.0,Others,973
tt0104029,1994,Silver Raven,,True,True,Cronos,nm0868219,Guillermo del Toro,Cronos,1994.0,Others,2153159
tt0117883,1997,Grand Prize of European Fantasy Film in Silver,,True,True,Thesis,nm0024622,Alejandro Amenábar,Thesis,1997.0,Others,22779
tt0119506,1998,Golden Raven,,True,True,Lawn Dogs,nm0241090,John Duigan,Lawn Dogs,1998.0,Drama,334045
tt0118541,1998,Silver Raven,,True,True,8 Heads in a Duffel Bag,nm0776114,Tom Schulman,8 Heads in a Duffel Bag,1997.0,Others,11494504
tt0119081,1998,Pegasus Audience Award,,True,True,Event Horizon,nm0027271,Paul W.S. Anderson,Event Horizon,1997.0,Others,84779771
tt0178868,1999,Golden Raven,,True,False,Ringu,nm0620378,Hideo Nakata,Ringu,2003.0,Others,81854
tt0123755,1999,Silver Raven,,True,True,Cube,nm0622112,Vincenzo Natali,Cube,1998.0,Drama,1688174
tt0120710,1999,Silver Raven,,True,True,In Dreams,nm0001403,Neil Jordan,In Dreams,1999.0,Drama,37383014
tt0118929,1999,Pegasus Audience Award,,True,True,Dark City,nm0001639,Alex Proyas,Dark City,1998.0,Others,65629030
tt0120894,1999,Grand Prize of European Fantasy Film in Silver,,True,True,Immortality,nm0502987,Po-Chih Leong,Immortality,2000.0,Others,119927
tt0222368,2000,Golden Raven,,True,False,The Nameless,nm0049371,Jaume Balagueró,The Nameless,2005.0,Drama,5127093
tt0177789,2000,Silver Raven,Best Screenplay,True,True,Galaxy Quest,nm0397232,David Howard,Galaxy Quest,1999.0,Others,246388710
tt0255589,2001,Golden Raven,,True,False,The Isle,nm1104118,Ki-duk Kim,The Isle,2002.0,Drama,64529
tt0211661,2001,Silver Raven,,True,True,Terror Tract,nm0004165,Lance W. Dreesen,Terror Tract,2000.0,Others,29960
tt0280609,2002,Golden Raven,,True,True,Dog Soldiers,nm0551076,Neil Marshall,Dog Soldiers,2002.0,Action,5009677
tt0308379,2002,Silver Raven,,True,True,Dark Water,nm0620378,Hideo Nakata,Dark Water,2002.0,Drama,2044928
tt0299873,2002,Silver Raven,,True,True,Fausto 5.0,nm1077590,Isidro Ortiz,Fausto 5.0,2003.0,Drama,46097
tt0262826,2002,Grand Prize of European Fantasy Film in Gold,,True,True,Thomas in Love,nm0719348,Pierre-Paul Renders,Thomas in Love,2000.0,Others,228787
tt0237534,2002,Grand Prize of European Fantasy Film in Gold,,False,False,Brotherhood of the Wolf,nm0304521,Christophe Gans,Brotherhood of the Wolf,2002.0,Action,117875467
tt0284978,2003,Golden Raven,,True,False,Cypher,nm0622112,Vincenzo Natali,Cypher,2005.0,Others,1168917
tt0303361,2003,Silver Raven,,True,True,May,nm0079374,Angela Bettis,May,2002.0,Drama,598288
tt0324242,2003,Special Mention,,True,True,3 Extremes II,nm0151066,Peter Ho-Sun Chan,3 Extremes II,2003.0,Others,2336967
tt0354668,2004,Golden Raven,,True,False,Save the Green Planet!,nm2287741,Joon-Hwan Jang,Save the Green Planet!,2004.0,Others,41847
tt0365376,2004,Silver Raven,,True,True,A Tale of Two Sisters,nm0947514,Jung-ah Yum,A Tale of Two Sisters,2003.0,Drama,1544052
tt0361668,2004,Silver Raven,,True,True,Gozu,nm0766499,Sakichi Sato,Gozu,2004.0,Others,157058
tt0289879,2004,Pegasus Audience Award,,True,True,The Butterfly Effect,nm0107774,Eric Bress,The Butterfly Effect,2004.0,Drama,212008726
tt0342492,2004,Grand Prize of European Fantasy Film in Silver,,True,True,The Green Butchers,nm0421314,Anders Thomas Jensen,The Green Butchers,2004.0,Others,10284
tt0434179,2005,Golden Raven,,True,False,Marebito,nm1234345,Takashi Shimizu,Marebito,2004.0,Drama,163845
tt0403358,2005,Silver Raven,,True,True,Night Watch,nm0067457,Timur Bekmambetov,Night Watch,2006.0,Action,66302385
tt0387564,2005,Pegasus Audience Award,,True,True,Saw,nm1490123,James Wan,Saw,2004.0,Others,214066010
tt0376650,2005,Grand Prize of European Fantasy Film in Silver,,True,True,Hipnos,nm0140235,David Carreras,Hipnos,2004.0,Drama,2212399
tt0418455,2006,Golden Raven,,True,True,Adam's Apples,nm0421314,Anders Thomas Jensen,Adam's Apples,2006.0,Others,3098912
tt0484273,2007,Best Fantasy Film,,False,False,The Dark Hour,nm0004439,Elio Quiroga,The Dark Hour,2007.0,Others,87206
tt0758742,2007,Pegasus Audience Award,Best Film,True,True,Death Note,nm0437526,Shûsuke Kaneko,Death Note,2007.0,Others,36680692
tt0883995,2008,Golden Raven,International Competition,True,False,13: Game of Death,nm1840848,Chookiat Sakveerakul,13: Game of Death,2008.0,Others,434117
tt0984155,2008,Golden Raven,International Competition,False,False,Before the Fall,nm1279573,F. Javier Gutiérrez,Before the Fall,2008.0,Others,395723
tt1038988,2008,Silver Raven,Jury Prize,True,True,REC,nm0049371,Jaume Balagueró,REC,2008.0,Others,38340457
tt0758786,2008,Silver Raven,,True,True,Stuck,nm0002340,Stuart Gordon,Stuck,2007.0,Others,267800
tt0814685,2008,Grand Prize of European Fantasy Film in Silver,,True,True,Frontier(s),,[],Frontier(s),2008.0,Others,2975900
tt1139797,2009,Golden Raven,International Competition,True,False,Let the Right One In,nm0019247,Tomas Alfredson,Let the Right One In,2008.0,Drama,16227204
tt1060234,2009,Special Mention,The 7th Orbit,True,True,8th Wonderland,,[],8th Wonderland,2009.0,Drama,121088
