tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0106307,1993,Golden Camera 300,,True,False,Arizona Dream,nm0276803,Vilko Filac,Arizona Dream,1994.0,Others,385022
tt0113725,1996,Golden Camera 300,,True,False,Maborosi,nm0619919,Masao Nakabori,Maborosi,1995.0,Drama,239461
tt0140888,1998,Golden Camera 300,,True,True,Central Station,nm0142504,Walter Carvalho,Central Station,1998.0,Drama,18606116
tt0119448,1998,Silver Camera 300,,True,True,Character,nm0831114,Rogier Stoffers,Character,1998.0,Crime,1966185
tt0169145,1998,Bronze Camera 300,,True,True,Cabaret Balkan,nm0817131,Milan Spasic,Cabaret Balkan,1999.0,Drama,165719
tt0188653,1999,Golden Camera 300,,True,False,Journey to the Sun,nm0678456,Jacek Petrycki,Journey to the Sun,2001.0,Drama,6382
tt0165078,1999,Bronze Camera 300,,True,True,After Life,nm0945594,Yutaka Yamazaki,After Life,1999.0,Drama,2466253
tt0150662,1999,Special Jury Award,,True,True,Show Me Love,nm0105308,Ulf Brantås,Show Me Love,1999.0,Others,597604
tt0234805,2000,Golden Camera 300,,True,False,The Legend of Rita,nm0405813,Andreas Höfer,The Legend of Rita,2000.0,Drama,986305
tt0158302,2000,Silver Camera 300,,True,True,Under the Sun,nm0278980,Jens Fischer,Under the Sun,1999.0,Drama,960264
tt0258761,2001,Golden Camera 300,,True,False,Last Resort,nm0501755,Ryszard Lenczewski,Last Resort,2001.0,Drama,169378
tt0283509,2001,Golden Camera 300,,False,True,No Man's Land,nm0005698,Walther van den Ende,No Man's Land,2001.0,Drama,8443038
tt0234041,2001,Golden Camera 300,,False,False,Roberto Succo,nm0551785,Pascal Marti,Roberto Succo,2001.0,Others,135765
tt0120263,2001,Golden Camera 300,,False,True,Songs from the Second Floor,nm0095983,István Borbás,Songs from the Second Floor,2001.0,Others,231314
tt0234837,2001,Golden Camera 300,,False,False,Suzhou River,nm0911094,Yu Wang,Suzhou River,2000.0,Drama,142789
tt0208911,2001,Golden Camera 300,,False,True,The King Is Alive,nm0002854,Jens Schlosser,The King Is Alive,2001.0,Drama,51566
tt0181865,2001,Golden Camera 300,,False,False,Traffic,nm0001752,Steven Soderbergh,Traffic,2001.0,Crime,483996309
tt0241663,2002,Golden Camera 300,,True,True,To the Left of the Father,nm0142504,Walter Carvalho,To the Left of the Father,2002.0,Drama,731416
tt0308071,2002,Silver Camera 300,,True,True,Burning in the Wind,nm0081723,Luca Bigazzi,Burning in the Wind,2002.0,Drama,1595564
tt0310009,2002,Special Mention,,True,True,Higher Still,nm0130389,Sylvia Calle,Higher Still,2002.0,Drama,4991
tt0281718,2002,Student Jury Award,,True,True,Friend,nm0997089,Ki S. Hwang,Friend,2001.0,Others,792329
tt0299977,2003,Golden Camera 300,,True,True,Hero,nm0236313,Christopher Doyle,Hero,2004.0,Others,311654711
tt0313670,2003,Golden Camera 300,,True,False,Sweet Sixteen,nm0010096,Barry Ackroyd,Sweet Sixteen,2002.0,Crime,5567405
tt0317248,2003,Silver Camera 300,,True,True,City of God,nm0153263,César Charlone,City of God,2004.0,Crime,52489246
tt0351238,2003,Bronze Camera 300,,True,True,Distant Lights,nm0323950,Bogumil Godfrejow,Distant Lights,2003.0,Drama,1110672
tt0346094,2003,Special Mention,,True,True,Uzak,nm0149196,Nuri Bilge Ceylan,Distant,2003.0,Drama,569927
tt0347048,2004,Golden Camera 300,,True,False,Head-On,nm0458430,Rainer Klausmann,Head-On,2004.0,Drama,15396058
tt0373981,2004,Silver Camera 300,,True,True,Kontroll,nm0655822,Gyula Pados,Kontroll,2004.0,Others,2038709
tt0415855,2004,Bronze Camera 300,,True,True,Hotel,nm0345116,Martin Gschlacht,Hotel,2004.0,Drama,7248
tt0331370,2004,Special Jury Award,,True,True,Whisky,nm1204748,Barbara Alvarez,Whisky,2004.0,Others,848383
tt0445506,2005,Golden Camera 300,,True,True,Peacock,nm0946057,Shu Yang,Peacock,2005.0,Drama,72
tt0367082,2005,Silver Camera 300,,True,True,Fateless,nm0655822,Gyula Pados,Fateless,2005.0,Drama,3482119
tt0456396,2005,Silver Camera 300,,True,True,The Child,nm0545822,Alain Marcoen,The Child,2005.0,Crime,7917536
tt0382189,2005,Bronze Camera 300,,True,True,My Summer of Love,nm0501755,Ryszard Lenczewski,My Summer of Love,2005.0,Drama,4927722
tt0401792,2005,Special Award,,True,True,Sin City,nm0001675,Robert Rodriguez,Sin City,2005.0,Crime,305761527
tt0387898,2005,Audience Award,,True,True,Caché,nm0074141,Christian Berger,Caché,2006.0,Drama,25522911
tt0411270,2006,Golden Camera 300,,True,False,The Beat That My Heart Skipped,nm0284860,Stéphane Fontaine,The Beat That My Heart Skipped,2005.0,Crime,16783348
tt0464665,2006,Silver Camera 300,,True,True,Dreaming of Space,nm0459532,Yuriy Klimenko,Dreaming of Space,2006.0,Drama,896001
tt0475317,2006,Bronze Camera 300,,True,True,Tough Enough,nm0104951,Kolja Brandt,Tough Enough,2006.0,Crime,316577
