tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0089160,1986,Golden Dolphin,,True,False,Fool for Love,nm0000265,Robert Altman,Fool for Love,1985.0,Drama,3909935
tt0107388,1993,Golden Dolphin,,True,False,It's Better to Be Wealthy and Healthy Than Poor and Ill,nm0416036,Juraj Jakubisko,It's Better to Be Wealthy and Healthy Than Poor and Ill,1992.0,Comedy,26974
tt0129111,1998,Golden Dolphin,,False,True,The Gambler,nm0538652,Károly Makk,The Gambler,1999.0,Others,13967
tt0125128,1998,Prize of the City of Grândola,,True,True,The Hanging Garden,nm0280396,Thom Fitzgerald,The Hanging Garden,1997.0,Drama,39414
tt0124137,1998,Prize of the City of Grândola - Special Mention,,True,True,Sparkler,nm0825434,Darren Stein,Sparkler,1999.0,Comedy,22692
tt0181830,1999,Golden Dolphin,,True,False,Solomon & Gaenor,nm0607422,Paul Morrison,Solomon & Gaenor,1999.0,Drama,502547
tt0188653,1999,Golden Dolphin,,False,True,Journey to the Sun,nm0882445,Yesim Ustaoglu,Journey to the Sun,2001.0,Drama,6382
tt0168749,1999,Golden Dolphin,,False,False,The Lighthouse,nm0586002,Eduardo Mignogna,The Lighthouse,1999.0,Drama,12682
tt0169156,1999,Golden Dolphin,,False,False,The Quarry,nm0405578,Marion Hänsel,The Quarry,2000.0,Drama,5071
tt0171135,1999,Prize of the City of Grândola,,True,True,Brown's Requiem,nm0293253,Jason Freeland,Brown's Requiem,1998.0,Others,13360
tt0141974,1999,Tróia Award - First Works Section,,True,True,The War Zone,nm0000619,Tim Roth,The War Zone,1999.0,Drama,791501
tt0146664,1999,FIPRESCI Prize - Special Mention,,True,True,The Day Silence Died,nm0012910,Paolo Agazzi,The Day Silence Died,2000.0,Comedy,2558
tt0218705,2000,Golden Dolphin,,False,True,All My Loved Ones,nm0590882,Matej Minac,All My Loved Ones,2000.0,Drama,18884
tt0190611,2000,Golden Dolphin,,False,False,Captain Pantoja and the Special Services,nm0518363,Francisco J. Lombardi,Captain Pantoja and the Special Services,2002.0,Comedy,54187
tt0222027,2000,Golden Dolphin,,False,False,I earini synaxis ton agrofylakon,nm0042822,Dimos Avdeliodis,I earini synaxis ton agrofylakon,2000.0,Others,23962
tt0165196,2000,Golden Dolphin,,False,False,Molokai,nm0185187,Paul Cox,Molokai,1999.0,Others,282953
tt0162909,2000,Golden Dolphin,,False,False,Yana's Friends,nm0438438,Arik Kaplun,Yana's Friends,1999.0,Comedy,95639
tt0194710,2000,Prize of the City of Setúbal - Special Mention,,True,True,Bobby G. Can't Swim,nm0600024,John-Luke Montias,Bobby G. Can't Swim,1999.0,Drama,49251
tt0183503,2000,Tróia Award - First Works Section,,True,True,Me Myself I,nm0006729,Pip Karmel,Me Myself I,1999.0,Comedy,1126222
tt0243862,2001,Golden Dolphin,,True,False,Italian for Beginners,nm0771054,Lone Scherfig,Italian for Beginners,2002.0,Comedy,29698755
tt0277578,2001,Golden Dolphin,,False,False,Anita Takes a Chance,nm0690532,Ventura Pons,Anita Takes a Chance,2001.0,Comedy,31879
tt0209037,2001,Golden Dolphin,,False,True,Everybody's Famous!,nm0220652,Dominique Deruddere,Everybody's Famous!,2001.0,Comedy,257108
tt0203166,2001,Golden Dolphin,,False,False,Together,nm0600546,Lukas Moodysson,Together,2001.0,Comedy,22403056
tt0261900,2001,Special Mention - First Works Section,,True,True,Don't Cry Germaine,nm0208818,Alain de Halleux,Don't Cry Germaine,2001.0,Comedy,13151
tt0293654,2002,Golden Dolphin,,True,False,Every Stewardess Goes to Heaven,nm0122184,Daniel Burman,Every Stewardess Goes to Heaven,2002.0,Comedy,146930
tt0257215,2002,Golden Dolphin,,False,False,A Song for Martin,nm0000806,Bille August,A Song for Martin,2002.0,Drama,1319089
tt0251636,2002,Golden Dolphin,,False,False,Chico,nm0270851,Ibolya Fekete,Chico,2001.0,Drama,3588
tt0297107,2002,Golden Dolphin,,False,True,Escape to Paradise,nm0415259,Nino Jacusso,Escape to Paradise,2002.0,Drama,13067
tt0256084,2002,Golden Dolphin,,False,False,How Harry Became a Tree,nm0664607,Goran Paskaljevic,How Harry Became a Tree,2001.0,Drama,164853
tt0282628,2002,Golden Dolphin,,False,True,Jan Dara,nm0632354,Nonzee Nimibutr,Jan Dara,2002.0,Drama,1635238
tt0301587,2002,Golden Dolphin,,False,True,The Chimp,nm0008332,Aktan Arym Kubat,The Chimp,2002.0,Drama,65452
tt0245157,2002,Golden Dolphin,,False,False,Zus & zo,nm0644309,Paula van der Oest,Zus & Zo,2003.0,Comedy,465087
tt0245479,2002,Prize of the City of Setúbal,,True,True,Just a Kiss,nm0001770,Fisher Stevens,Just a Kiss,2002.0,Comedy,182929
tt0303282,2002,Prize of the City of Setúbal - Special Mention,,True,True,The Execution of Wanda Jean,nm0305017,Liz Garbus,The Execution of Wanda Jean,2002.0,Others,3999
tt0291988,2003,Golden Dolphin,,True,False,Intimate Stories,nm0815044,Carlos Sorin,Intimate Stories,2003.0,Comedy,600121
tt0339450,2003,Golden Dolphin,,False,False,Names Engraved in Marble,nm0639297,Elmo Nüganen,Names Engraved in Marble,2002.0,Drama,117148
tt0305229,2003,Golden Dolphin,,False,False,Rana's Wedding,nm0009463,Hany Abu-Assad,Rana's Wedding,2003.0,Comedy,49976
tt0289786,2003,Golden Dolphin,,False,False,Some Secrets,nm0625080,Alice Nellis,Some Secrets,2003.0,Comedy,230008
tt0314686,2003,Golden Dolphin,,False,False,The Brats,nm0878702,Zdenek Tyc,Smradi,2003.0,Drama,128519
tt0308476,2003,Golden Dolphin,,False,False,The Cuckoo,nm0737400,Aleksandr Rogozhkin,The Cuckoo,2002.0,Comedy,1024615
tt0329767,2003,Golden Dolphin,,False,True,Wilbur Wants to Kill Himself,nm0771054,Lone Scherfig,Wilbur Wants to Kill Himself,2003.0,Comedy,2466604
