tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0088178,1985,Grand Prix,,True,False,Stop Making Sense,nm0001129,Jonathan Demme,Stop Making Sense,1984.0,Others,25277184
tt0086928,1985,Georges Delerue Prize,Best Musical Documentary,True,True,Tosca's Kiss,nm0006357,Daniel Schmid,Tosca's Kiss,1985.0,Others,86459
tt0090888,1986,Georges Delerue Prize,Best Original Music,True,True,Crossroads,nm0176839,Ry Cooder,Crossroads,1986.0,Drama,27429277
tt0061876,1988,Best Director,,True,True,The Commissar,nm0039487,Aleksandr Askoldov,The Commissar,1988.0,Drama,840339
tt0099951,1990,Georges Delerue Prize,,True,True,The Krays,nm0004383,Michael Kamen,The Krays,1990.0,Others,7872127
tt0101829,1991,Grand Prix,,True,False,Europa,nm0001885,Lars von Trier,Europa,1992.0,Drama,3691138
tt0101317,1991,Special Mention,,True,True,Lovers: A True Story,nm0893941,Maribel Verdú,Lovers: A True Story,1992.0,Others,5189538
tt0103282,1992,Grand Prix,,True,False,A Woman's Tale,nm0185187,Paul Cox,A Woman's Tale,1992.0,Drama,741102
tt0103850,1992,Georges Delerue Prize,,True,True,Bob Roberts,nm0730321,David Robbins,Bob Roberts,1992.0,Comedy,16202683
tt0105107,1993,Grand Prix,,True,False,Passion Fish,nm0000626,John Sayles,Passion Fish,1992.0,Drama,17341314
tt0112767,1995,Grand Prix,,True,True,Cyclo,nm0870841,Anh Hung Tran,Cyclo,1996.0,Others,925015
tt0117040,1996,Georges Delerue Prize,,True,True,Microcosmos,nm0006020,Bruno Coulais,Microcosmos,1996.0,Others,4627339
tt0141824,1998,Grand Prix,,True,False,The Inheritors,nm0752328,Stefan Ruzowitzky,The Inheritors,1998.0,Drama,306115
tt0163185,1998,Best Director,,True,True,Rosie,nm0870299,Patrice Toye,Rosie,1999.0,Drama,14684
tt0150143,1998,Georges Delerue Prize,,True,True,Claire Dolan,nm0279842,Simon Fisher-Turner,Claire Dolan,2000.0,Drama,28534
tt0169145,1998,Special Mention,,True,True,Cabaret Balkan,nm0664607,Goran Paskaljevic,Cabaret Balkan,1999.0,Drama,165719
tt0117615,1998,Special Mention,,True,True,Shall We Dance?,nm0839397,Masayuki Suo,Shall We Dance?,1997.0,Comedy,30248893
tt0120684,1998,Audience Award,,True,True,Gods and Monsters,nm0174374,Bill Condon,Gods and Monsters,1998.0,Others,20106105
tt0210727,1999,Grand Prix,,True,True,Himalaya,nm0885108,Eric Valli,Himalaya,2001.0,Drama,34009693
tt0160509,1999,Grand Prix,,False,False,Agnes Browne,nm0001378,Anjelica Huston,Agnes Browne,2000.0,Comedy,444381
tt0188653,1999,Grand Prix,,False,False,Journey to the Sun,nm0882445,Yesim Ustaoglu,Journey to the Sun,2001.0,Drama,6382
tt0181618,1999,Grand Prix,,False,False,Judy Berlin,nm0578857,Eric Mendelsohn,Judy Berlin,1999.0,Comedy,190489
tt0189744,1999,Grand Prix,,False,False,Miss Julie,nm0001214,Mike Figgis,Miss Julie,1999.0,Drama,133440
tt0171685,1999,Grand Prix,,False,True,Ratcatcher,nm0708903,Lynne Ramsay,Ratcatcher,1999.0,Drama,660122
tt0150662,1999,Grand Prix,,False,True,Show Me Love,nm0600546,Lukas Moodysson,Show Me Love,1999.0,Comedy,597604
tt0168794,1999,Grand Prix,,False,False,The Five Senses,nm0687964,Jeremy Podeswa,The Five Senses,2000.0,Comedy,1511116
tt0162023,1999,Grand Prix,,False,True,Tuvalu,nm0375691,Veit Helmer,Tuvalu,1999.0,Comedy,1250933
tt0245712,2000,Grand Prix,,True,False,Amores perros,nm0327944,Alejandro G. Iñárritu,Amores Perros,2001.0,Drama,38017184
tt0190332,2000,Grand Prix,,False,True,"Crouching Tiger, Hidden Dragon",nm0000487,Ang Lee,"Crouching Tiger, Hidden Dragon",2001.0,Others,498551538
tt0261900,2000,Grand Prix,,False,True,Don't Cry Germaine,nm0208818,Alain de Halleux,Don't Cry Germaine,2001.0,Comedy,13151
tt0157122,2000,Grand Prix,,False,True,Faithless,nm0880521,Liv Ullmann,Faithless,2000.0,Drama,2433709
tt0206742,2000,Grand Prix,,False,False,Fast Food Fast Women,nm0464180,Amos Kollek,Fast Food Fast Women,2001.0,Comedy,353651
tt0210075,2000,Grand Prix,,False,True,Girlfight,nm0476201,Karyn Kusama,Girlfight,2000.0,Drama,4746554
tt0118694,2000,Grand Prix,,False,False,In the Mood for Love,nm0939182,Kar-Wai Wong,In the Mood for Love,2001.0,Drama,22616335
tt0245027,2000,Grand Prix,,False,False,The Bench,nm0283377,Per Fly,The Bench,2000.0,Drama,1748081
tt0200720,2000,Grand Prix,,False,False,The House of Mirth,nm0203993,Terence Davies,The House of Mirth,2000.0,Drama,12075177
tt0203166,2000,Grand Prix,,False,True,Together,nm0600546,Lukas Moodysson,Together,2001.0,Comedy,22403056
tt0249462,2000,Audience Award,,True,True,Billy Elliot,nm0197636,Stephen Daldry,Billy Elliot,2000.0,Drama,192689248
tt0285441,2001,Grand Prix,,True,True,Atanarjuat: The Fast Runner,nm0994348,Zacharias Kunuk,Atanarjuat: The Fast Runner,2002.0,Drama,12762122
tt0256084,2001,Grand Prix,,False,True,How Harry Became a Tree,nm0664607,Goran Paskaljevic,How Harry Became a Tree,2001.0,Drama,164853
tt0299027,2001,Grand Prix,,False,True,Maya,nm1070317,Digvijay Singh,Maya,2001.0,Drama,23936
tt0283283,2001,Grand Prix,,False,True,Millennium Mambo,nm0396284,Hsiao-Hsien Hou,Millennium Mambo,2001.0,Drama,587106
tt0287645,2001,Grand Prix,,False,False,Rain,nm0420422,Christine Jeffs,Rain,2002.0,Drama,1367672
tt0269217,2001,Grand Prix,,False,False,Tears of the Black Tiger,nm0765685,Wisit Sasanatieng,Tears of the Black Tiger,2001.0,Others,306379
tt0250323,2001,Grand Prix,,False,False,The Deep End,nm0569166,Scott McGehee,The Deep End,2001.0,Others,27145155
tt0230600,2001,Grand Prix,,False,True,The Others,nm0024622,Alejandro Amenábar,The Others,2001.0,Others,441226619
tt0291032,2002,Grand Prix,,False,False,Balzac and the Little Chinese Seamstress,nm0197246,Sijie Dai,Balzac and the Little Chinese Seamstress,2002.0,Others,8282238
tt0280491,2002,Grand Prix,,False,False,Bloody Sunday,nm0339030,Paul Greengrass,Bloody Sunday,2002.0,Drama,3653451
