tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0077869,1980,Golden Gryphon,,True,False,The Lord of the Rings,nm0000835,Ralph Bakshi,The Lord of the Rings,1978.0,Others,231065591
tt0092655,1988,Golden Gryphon,,True,False,Big Shots,nm0541677,Robert Mandel,Big Shots,1987.0,Others,15027210
tt0119670,1998,Silver Gryphon,,True,True,The Mighty,nm0155093,Peter Chelsom,The Mighty,1998.0,Comedy,8265562
tt0125454,1998,Bronze Gryphon,Early Screens,True,True,Paulie,nm0731253,John Roberts,Paulie,1998.0,Others,84528258
tt0148103,1999,Golden Gryphon,Rear Window Section,True,False,Set Me Free,nm0690794,Léa Pool,Set Me Free,1999.0,Drama,225015
tt0156812,2000,Silver Gryphon,Free to Fly Section,True,True,My Dog Skip,nm0751221,Jay Russell,My Dog Skip,2000.0,Comedy,104014009
tt0214959,2000,Special Mention,Free to Fly Section,True,True,Le monde de Marty,nm0054266,Denis Bardiau,Le monde de Marty,2000.0,Drama,91202
tt0246875,2000,Special Mention,Free to Fly Section,True,True,Purely Belter,nm0379179,Mark Herman,Purely Belter,2000.0,Comedy,155200
tt0173910,2000,Special Mention,Free to Fly Section,True,True,Running Free,nm0091076,Sergei Bodrov,Running Free,2000.0,Others,348659
tt0191043,2000,Special Mention,Free to Fly Section,True,True,The Color of Paradise,nm0006498,Majid Majidi,The Color of Paradise,1999.0,Drama,6993351
tt0260688,2001,Bronze Gryphon,Free to Fly Section,True,True,Ali Zaoua: Prince of the Streets,nm0043953,Nabil Ayouch,Ali Zaoua: Prince of the Streets,2001.0,Others,9515
tt0266078,2001,Bronze Gryphon,Free to Fly Section,True,True,Yolngu Boy,nm0426263,Stephen Johnson,Yolngu Boy,2001.0,Others,93282
tt0248628,2001,Award of the President of the Italian Republic,,True,True,Alaska.de,nm0343094,Esther Gronenborn,Alaska.de,2001.0,Drama,41496
tt0286516,2002,CONAI Award,,True,True,Respiro,nm0187740,Emanuele Crialese,Respiro,2002.0,Drama,11854880
