tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0061852,1968,"Young Audience Award (""Enfants Terribles"")",Best Feature Film for Children,True,True,The Jungle Book,,[],The Jungle Book,1967.0,Others,2670390881
tt0113280,1995,Grand Prix Asturias,Best Feature,True,True,Heavy,nm0003506,James Mangold,Heavy,1996.0,Drama,3070535
tt0112454,1996,Special Jury Award,,True,True,Bandwagon,nm0180984,Kevin Corrigan,Bandwagon,1997.0,Comedy,141229
tt0116594,1996,Best Art Direction,,True,True,I Shot Andy Warhol,nm0220149,Thérèse DePrez,I Shot Andy Warhol,1996.0,Others,6121164
tt0118698,1997,Grand Prix Asturias,Best Feature,False,True,Bent,nm0558773,Sean Mathias,Bent,1997.0,Drama,1569868
tt0119237,1997,Grand Prix Asturias,Best Feature,False,True,Gummo,nm0005101,Harmony Korine,Gummo,1997.0,Comedy,371240
tt0117365,1997,Grand Prix Asturias,Best Feature,False,False,Portraits chinois,nm0240987,Martine Dugowson,Portraits chinois,1999.0,Comedy,24851
tt0124185,1997,Grand Prix Asturias,Best Feature,False,True,Under the Skin,nm0012119,Carine Adler,Under the Skin,1998.0,Drama,440314
tt0120522,1997,Grand Prix Asturias,Best Feature,False,True,Winter Sleepers,nm0878756,Tom Tykwer,Winter Sleepers,2000.0,Drama,964398
tt0119842,1998,Grand Prix Asturias,Best Feature,True,True,Orphans,nm0611932,Peter Mullan,Orphans,2000.0,Comedy,163461
tt0118789,1998,Grand Prix Asturias,Best Feature,False,True,Buffalo '66,nm0001252,Vincent Gallo,Buffalo '66,1998.0,Comedy,7447255
tt0138487,1998,Grand Prix Asturias,Best Feature,False,False,Head On,nm0463727,Ana Kokkinos,Head On,1999.0,Drama,1667451
tt0126604,1998,Grand Prix Asturias,Best Feature,False,False,Pecker,nm0000691,John Waters,Pecker,1998.0,Comedy,7128355
tt0138704,1998,Grand Prix Asturias,Best Feature,False,False,Pi,nm0004716,Darren Aronofsky,Pi,1998.0,Drama,10087732
tt0154420,1998,Grand Prix Asturias,Best Feature,False,True,The Celebration,nm0899121,Thomas Vinterberg,The Celebration,1998.0,Drama,5161517
tt0166396,1998,Grand Prix Asturias,Best Feature,False,False,Waking Ned Devine,nm0428600,Kirk Jones,Waking Ned Devine,1999.0,Comedy,124507248
tt0159272,1999,Grand Prix Asturias,Best Feature,False,False,Beautiful People,nm0229026,Jasmin Dizdar,Beautiful People,2000.0,Comedy,795515
tt0171804,1999,Grand Prix Asturias,Best Feature,False,True,Boys Don't Cry,nm0005303,Kimberly Peirce,Boys Don't Cry,2000.0,Others,34453026
tt0126261,1999,Grand Prix Asturias,Best Feature,False,False,Desert Blue,nm0293533,Morgan J. Freeman,Desert Blue,1999.0,Drama,311582
tt0188674,1999,Grand Prix Asturias,Best Feature,False,False,Human Traffic,nm0449863,Justin Kerrigan,Human Traffic,2000.0,Comedy,310701
