tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0095967,1989,Dragon Award,Best Nordic Film,True,True,Directed by Andrei Tarkovsky,nm0504576,Michal Leszczylowski,Directed by Andrei Tarkovsky,1989.0,Others,91518
tt0276189,2001,Dragon Award,Best Nordic Film,True,True,Cool and Crazy,nm0421567,Knut Erik Jensen,Cool and Crazy,2001.0,Others,4501
tt0310622,2002,FIPRESCI Prize,,True,True,All About My Father,nm1135320,Even Benestad,All About My Father,2003.0,Others,567701
tt0351461,2003,FIPRESCI Prize,,True,True,Noi the Albino,nm0477597,Dagur Kári,Noi the Albino,2003.0,Drama,1941617
tt0366596,2004,FIPRESCI Prize,,True,True,Young Gods,nm0797655,Jukka-Pekka Siili,Young Gods,2004.0,Drama,864974
tt0388318,2005,Nordic Vision Award,,True,True,Frozen Land,nm0740111,Rauno Ronkainen,Frozen Land,2006.0,Drama,2176355
tt0420740,2006,FIPRESCI Prize,,True,True,A Little Trip to Heaven,nm0466349,Baltasar Kormákur,A Little Trip to Heaven,2006.0,Drama,170172
tt0408318,2006,Dragon Award,Best Nordic Film,True,True,Dark Horse,nm0477597,Dagur Kári,Dark Horse,2005.0,Comedy,13742
tt0495040,2007,Nordic Vision Award,Best Cinematography,True,True,The Art of Crying,nm0654953,Harald Gunnar Paalgard,The Art of Crying,2007.0,Comedy,20783
tt0471030,2007,International Debut Award,,True,False,Red Road,nm0036349,Andrea Arnold,Red Road,2007.0,Drama,1620072
tt0492869,2007,Audience Award,Best Feature Film,False,False,Antonia,nm0024015,Tata Amaral,Antonia,2007.0,Drama,8702
tt0808185,2007,FIPRESCI Prize,,True,True,The Bothersome Man,nm0509633,Jens Lien,The Bothersome Man,2007.0,Comedy,466230
tt0875581,2007,Dragon Award,Best Nordic Film,True,True,Darling,nm1626359,Johan Kling,Darling,2007.0,Drama,213012
tt0922424,2008,Canal+ Award,,False,False,Falafel,nm1159380,Michel Kammoun,Falafel,2007.0,Drama,48980
tt1139797,2008,Nordic Vision Award,,True,True,Let the Right One In,nm0887227,Hoyte Van Hoytema,Let the Right One In,2008.0,Drama,16227204
tt0431842,2008,FIPRESCI Prize,,True,True,Go with Peace Jamil,nm1494245,Omar Shargawi,Go with Peace Jamil,2008.0,Others,103831
tt1110272,2008,Dragon Award,Best Nordic Film,False,False,The King of Ping Pong,nm0429634,Jens Jonsson,The King of Ping Pong,2008.0,Drama,355060
tt0969307,2009,Nordic Vision Award,,True,True,The Visitor,nm1073043,Tuomo Hutri,The Visitor,2008.0,Drama,379637
tt1183942,2009,International Debut Award,,True,False,Parque vía,nm2737486,Enrique Rivero,Parque vía,2009.0,Drama,37729
tt1153111,2009,Audience Award,Best Feature Film,True,True,Mommy Is at the Hairdresser's,nm0690794,Léa Pool,Mommy Is at the Hairdresser's,2009.0,Drama,81647
tt1188998,2009,Dragon Award,Best Nordic Film,False,False,Forbidden Fruit,nm1933648,Dome Karukoski,Forbidden Fruit,2009.0,Drama,1451063
tt1232826,2009,Lorens Award,,True,True,Involuntary,nm1615036,Erik Hemmendorff,Involuntary,2009.0,Drama,745470
tt0808285,2010,Nordic Vision Award,,True,True,The Good Heart,nm1168303,Rasmus Videbæk,The Good Heart,2010.0,Comedy,430055
tt1132593,2010,International Debut Award,,True,False,Can Go Through Skin,nm1162023,Esther Rots,Can Go Through Skin,2009.0,Drama,8793
tt1338687,2010,Audience Award,Best Feature Film,True,True,The Topp Twins: Untouchable Girls,nm1482101,Leanne Pooley,The Topp Twins: Untouchable Girls,2011.0,Comedy,2091960
tt1208664,2010,Audience Award,Best Nordic Film,True,True,The Angel,nm0646444,Margreth Olin,The Angel,2011.0,Drama,1573730
tt1686313,2010,Audience Award,Best Novella Film,True,True,Simple Simon,nm2976232,Andreas Öhman,Simple Simon,2011.0,Comedy,4034625
tt1434443,2010,FIPRESCI Prize,,True,True,R,nm2105585,Tobias Lindholm,R,2011.0,Others,465417
tt1208728,2010,Dragon Award,Best Nordic Film,False,False,Last Cowboy Standing,nm1039438,Zaida Bergroth,Last Cowboy Standing,2009.0,Drama,550583
tt1286151,2010,City of Gothenburg Award,,True,True,I taket lyser stjärnorna,nm0803439,Lisa Siwe,I taket lyser stjärnorna,2009.0,Drama,1733736
tt0985058,2010,Lorens Award,,True,True,Metropia,nm2041361,Kristina Åberg,Metropia,2010.0,Others,95231
tt1332134,2011,Nordic Vision Award,,True,True,King of Devil's Island,nm0026174,John Andreas Andersen,King of Devil's Island,2011.0,Others,4725867
tt1120985,2011,International Debut Award,,True,False,Blue Valentine,nm0161834,Derek Cianfrance,Blue Valentine,2011.0,Drama,26236743
tt1606619,2011,Audience Award,Best Nordic Film,True,True,Jag saknar dig,nm0344985,Anders Grönros,Jag saknar dig,2011.0,Drama,876446
tt1827358,2011,FIPRESCI Prize,,True,True,She Monkeys,nm2132286,Lisa Aschan,She Monkeys,2011.0,Drama,9684
tt1886502,2012,International Debut Award,,True,False,Corpo celeste,nm3114621,Alice Rohrwacher,Corpo Celeste,2011.0,Drama,402381
tt1922559,2012,International Debut Award,,False,False,Blue Bird,nm3886858,Gust Van den Berghe,Blue Bird,2011.0,Drama,17300
tt1663321,2012,International Debut Award,,False,False,Chicken with Plums,nm2277869,Marjane Satrapi,Chicken with Plums,2012.0,Comedy,1868326
tt1677082,2012,International Debut Award,,False,False,Return,nm1637785,Liza Johnson,Return,2012.0,Drama,37053
tt1823202,2012,International Debut Award,,False,False,"Siberia, Monamour",nm3142989,Vyacheslav Ross,"Siberia, Monamour",2011.0,Drama,130467
tt1772947,2012,International Debut Award,,False,False,The Invader,nm1721091,Nicolas Provost,The Invader,2011.0,Drama,33020
tt1753866,2012,International Debut Award,,False,False,Toll Booth,nm3796645,Tolga Karaçelik,Toll Booth,2012.0,Drama,117050
tt1714210,2012,International Debut Award,,False,False,Weekend,nm0354091,Andrew Haigh,Weekend,2011.0,Drama,1917287
tt1780856,2012,Audience Award,Best Feature Film,True,True,Stopped on Track,nm0237527,Andreas Dresen,Stopped on Track,2011.0,Drama,802279
tt1601227,2012,FIPRESCI Prize,,True,True,Sons of Norway,nm0509633,Jens Lien,Sons of Norway,2011.0,Drama,1619623
