tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0250478,2000,Golden Tesafilm Roll,,True,True,Nico and Dani,nm0310747,Cesc Gay,Nico and Dani,2001.0,Comedy,1080645
tt0249643,2001,Digi@ward,,True,True,Kat,nm0200546,Henrik Danstrup,Kat,2002.0,Others,94487
tt0246692,2002,Digi@ward,,True,True,Old Men in New Cars: In China They Eat Dogs II,nm1183761,Michel Schønnemann,Old Men in New Cars: In China They Eat Dogs II,2003.0,Others,200478
tt0339230,2003,Audience Award,,True,True,Kopps,nm0267244,Josef Fares,Kopps,2003.0,Others,5429957
tt0349691,2004,Audience Award,,True,True,Dog Nail Clipper,nm0702522,Markku Pölönen,Dog Nail Clipper,2004.0,Drama,2354387
tt0382095,2004,Children's Filmfest Audience Award,,True,True,In Orange,nm0003400,Joram Lürsen,In Orange,2004.0,Drama,1784615
tt0386342,2004,Critics Award,,True,True,Brothers,nm0081540,Susanne Bier,Brothers,2005.0,Drama,1177806
tt0319917,2004,Michel Award,,True,True,Planta 4ª,nm0580318,Antonio Mercero,Planta 4ª,2004.0,Comedy,8205301
tt0418455,2005,Audience Award,,True,True,Adam's Apples,nm0421314,Anders Thomas Jensen,Adam's Apples,2006.0,Comedy,3098912
tt0424273,2005,Otto-Sprenger New Talent Award,,True,True,Electric Shadows,nm1718052,Jiang Xiao,Electric Shadows,2005.0,Drama,83024
tt0472113,2005,Critics Award,,True,True,Iron Island,nm1488024,Mohammad Rasoulof,Iron Island,2005.0,Drama,69869
tt0431380,2005,Michel Award,,True,True,The Treasure of the White Falcons,nm0959255,Christian Zübert,The Treasure of the White Falcons,2005.0,Others,198092
tt0785002,2006,Audience Award,,True,True,Heartbreak Hotel,nm0638324,Colin Nutley,Heartbreak Hotel,2006.0,Comedy,9928724
tt0479230,2006,Audience Award,,False,False,Crossing Borders,nm0407069,Carlos Iglesias,Crossing Borders,2006.0,Comedy,2095463
tt0390245,2006,Audience Award,,False,False,Matti: Hell Is for Heroes,nm0617407,Aleksi Mäkelä,Matti: Hell Is for Heroes,2007.0,Others,5503315
tt0470079,2006,Audience Award,,False,False,Rafters,nm0417306,Karel Janák,Rafters,2006.0,Comedy,3769370
tt0480051,2006,Otto-Sprenger New Talent Award,,True,True,Vineta,nm0836106,Franziska Stünkel,Vineta,2007.0,Drama,27851
tt0476298,2006,Critics Award,,True,True,Madeinusa,nm2013191,Claudia Llosa,Madeinusa,2006.0,Drama,313286
tt0872094,2006,Critics Award,,False,False,Children,nm0103880,Ragnar Bragason,Children,2007.0,Drama,14868
tt0499455,2006,Critics Award,,False,False,Day Night Day Night,nm0518123,Julia Loktev,Day Night Day Night,2006.0,Others,90513
tt0845439,2006,Critics Award,,False,False,Fireworks Wednesday,nm1410815,Asghar Farhadi,Fireworks Wednesday,2016.0,Drama,225787
tt0353667,2006,Critics Award,,False,False,Impossibly Yours,nm0279146,Torsten C. Fischer,Impossibly Yours,2007.0,Drama,82553
tt0466562,2006,Critics Award,,False,False,Nafaka,nm1568080,Jasmin Durakovic,Nafaka,2006.0,Others,11394
tt0491253,2006,Critics Award,,False,False,Ça brûle,nm0800098,Claire Simon,Ça brûle,2008.0,Drama,1595
tt0488059,2006,Michel Award - Special Mention,,True,True,The Lost Treasure of the Knights Templar,nm0054504,Kasper Barfoed,The Lost Treasure of the Knights Templar,2006.0,Others,12840
tt1130898,2007,Screenplay Award,,True,True,Underdogs,nm1992304,Jan-Hinrik Drevs,Underdogs,2008.0,Drama,246811
tt0809951,2007,Audience Award,,True,True,Empties,nm0841232,Jan Sverák,Empties,2008.0,Comedy,1180
tt0421082,2007,Critics Award,,True,True,Control,nm0179221,Anton Corbijn,Control,2007.0,Others,11046675
tt0450121,2007,Michel Award,,True,True,Red Like the Sky,nm0097580,Cristiano Bortone,Red Like the Sky,2008.0,Drama,875408
tt0448150,2007,Jetix Movie Award,,True,True,Trick or Treaters,nm0293901,Hayo Freitag,Die drei Räuber,2007.0,Others,7404877
tt0910955,2008,Screenplay Award,,True,True,It's Hard to Be Nice,nm0904406,Srdjan Vuletic,It's Hard to Be Nice,2008.0,Comedy,23353
tt1100048,2008,Screenplay Award,,False,True,35 Shots of Rum,nm0219136,Claire Denis,35 Shots of Rum,2009.0,Drama,1379424
tt0961066,2008,Screenplay Award,,False,False,Everlasting Moments,nm0753637,Niklas Rådström,Everlasting Moments,2008.0,Others,4712690
tt1043869,2008,Screenplay Award,,False,False,For My Father,nm2670473,Ido Dror,For My Father,2010.0,Drama,220404
tt1064932,2008,Audience Award,,True,True,Welcome to the Sticks,nm0200702,Dany Boon,Welcome to the Sticks,2008.0,Comedy,291617589
tt1105753,2008,Audience Award,,False,False,Grapes,nm0054685,Tomás Barina,Grapes,2009.0,Comedy,2846395
