tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0087803,1985,Golden Tulip,,True,False,1984,nm0705535,Michael Radford,1984,1985.0,Drama,40496153
tt0092558,1987,Best Turkish Film of the Year,,True,True,Motherland Hotel,nm0442693,Ömer Kavur,Motherland Hotel,1987.0,Others,27394
tt0090798,1987,Special Prize of the Jury,,True,True,Caravaggio,nm0418746,Derek Jarman,Caravaggio,1986.0,Others,21552
tt0100234,1992,FIPRESCI Prize,,True,True,Close-Up,nm0452102,Abbas Kiarostami,Close-Up,1990.0,Others,5110
tt0103616,1993,Special Prize of the Jury,,True,True,The Accompanist,nm0002218,Claude Miller,The Accompanist,1993.0,Drama,2699144
tt0112714,1996,FIPRESCI Prize,International Competition,True,True,The Confessional,nm0503215,Robert Lepage,The Confessional,1996.0,Drama,934140
tt0115669,1997,Golden Tulip,,True,True,The King of Masks,nm0943177,Tian-Ming Wu,The King of Masks,1997.0,Drama,3575754
tt0117356,1997,FIPRESCI Prize,International Competition,True,True,Le polygraphe,nm0503215,Robert Lepage,Le polygraphe,1996.0,Others,99306
tt0117056,1998,Golden Tulip,,True,False,The Mirror,nm0070159,Jafar Panahi,The Mirror,1998.0,Drama,217885
tt0169364,1999,Golden Tulip,,True,False,Wind with the Gone,nm0002159,Alejandro Agresti,Wind with the Gone,1998.0,Comedy,127792
tt0188653,1999,Best Turkish Film of the Year,,True,True,Journey to the Sun,nm0882445,Yesim Ustaoglu,Journey to the Sun,2001.0,Drama,6382
tt0150216,2000,People's Choice Award,International Competition,True,True,Cradle Will Rock,nm0000209,Tim Robbins,Cradle Will Rock,2000.0,Drama,8917438
tt0235841,2001,Golden Tulip,,True,True,No Place to Go,nm0753912,Oskar Roehler,No Place to Go,2000.0,Drama,60918
tt0211718,2001,Special Prize of the Jury,International Competition,True,True,Vengo,nm0309697,Tony Gatlif,Vengo,2001.0,Drama,179449
tt0262774,2001,FIPRESCI Prize,International Competition,True,True,"Smell of Camphor, Fragrance of Jasmine",nm0267715,Bahman Farmanara,"Smell of Camphor, Fragrance of Jasmine",2001.0,Drama,14263
tt0200720,2001,People's Choice Award,International Competition,True,True,The House of Mirth,nm0203993,Terence Davies,The House of Mirth,2000.0,Drama,12075177
tt0250258,2002,People's Choice Award,International Competition,True,True,The Experiment,nm0386570,Oliver Hirschbiegel,The Experiment,2002.0,Drama,19795063
tt0324158,2003,Golden Tulip,,True,False,Suddenly,nm1195308,Diego Lerman,Suddenly,2003.0,Comedy,276842
tt0294279,2003,Golden Tulip,,False,False,A Loving Father,nm0074213,Jacob Berger,A Loving Father,2003.0,Drama,109328
tt0291032,2003,Golden Tulip,,False,False,Balzac and the Little Chinese Seamstress,nm0197246,Sijie Dai,Balzac and the Little Chinese Seamstress,2002.0,Others,8282238
tt0304907,2003,Golden Tulip,,False,False,Life Kills Me,nm0801533,Jean-Pierre Sinapi,Life Kills Me,2003.0,Drama,163330
tt0317887,2003,Golden Tulip,,False,False,Madame Satã,nm0014694,Karim Aïnouz,Madame Satã,2002.0,Others,870181
tt0317226,2003,Golden Tulip,,False,False,Marooned in Iraq,nm0315842,Bahman Ghobadi,Marooned in Iraq,2002.0,Drama,444848
tt0295238,2003,Golden Tulip,,False,True,Personal Velocity,nm0589182,Rebecca Miller,Personal Velocity,2002.0,Drama,2404045
tt0313196,2003,Golden Tulip,,False,False,The Crime of Padre Amaro,nm0140196,Carlos Carrera,The Crime of Padre Amaro,2002.0,Drama,46213054
tt0332381,2003,Golden Tulip,,False,True,The Sea,nm0466349,Baltasar Kormákur,The Sea,2003.0,Comedy,354975
tt0346094,2003,Best Turkish Film of the Year,,True,True,Uzak,nm0149196,Nuri Bilge Ceylan,Distant,2003.0,Drama,569927
tt0363648,2003,Best Turkish Film of the Year,,False,True,Gönderilmemis mektuplar,nm0476174,Yusuf Kurçenli,Gönderilmemis mektuplar,2002.0,Drama,1380696
tt0363852,2003,Best Turkish Film of the Year,,False,False,O simdi asker,nm0022858,Mustafa Altioklar,O simdi asker,2003.0,Comedy,7909594
tt0377556,2004,Golden Tulip,,True,False,"Goodbye, Dragon Inn",nm0158857,Ming-liang Tsai,"Goodbye, Dragon Inn",2003.0,Comedy,1470800
tt0325675,2004,Best Turkish Film of the Year,,True,True,Boats Out of Watermelon Rinds,nm1204496,Ahmet Uluçay,Boats Out of Watermelon Rinds,2005.0,Comedy,17728
tt0338977,2004,Special Prize of the Jury,International Competition,True,True,Games of Love and Chance,,[],Games of Love and Chance,2005.0,Comedy,2307488
tt0418309,2004,Special Prize of the Jury,National Competition,True,True,Waiting for the Clouds,nm0882445,Yesim Ustaoglu,Waiting for the Clouds,2003.0,Drama,70194
