tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0423586,2003,Audience Award,,True,True,The Beauty Exchange,nm1599075,Erika Hníková,The Beauty Exchange,2003.0,Documentary,53441
tt0402906,2004,Audience Award,,True,True,Czech Dream,nm1109731,Vít Klusák,Czech Dream,2007.0,Others,93888
tt0457462,2006,Best World Documentary,,True,False,Totally Personal,nm1359023,Nedzad Begovic,Totally Personal,2005.0,Biography,1235
tt1215113,2006,Best World Documentary,,False,False,Still Life,nm0815946,Susana de Sousa Dias,Still Life,2006.0,Documentary,7210
tt0478338,2006,Best World Documentary,,False,False,Zizek!,nm2025391,Astra Taylor,Zizek!,2005.0,Documentary,104316
tt0825671,2006,Best Central and Eastern European Documentary,,False,False,Life in Loops (A Megacities RMX),nm1119183,Timo Novotny,Life in Loops (A Megacities RMX),2006.0,Documentary,2349
tt0765849,2006,Best Central and Eastern European Documentary,,False,True,Our Daily Bread,nm0315430,Nikolaus Geyrhalter,Our Daily Bread,2006.0,Documentary,90936
tt0832903,2007,Best World Documentary,,False,False,Manufactured Landscapes,nm0047028,Jennifer Baichwal,Manufactured Landscapes,2007.0,Documentary,744185
tt0938321,2007,Best World Documentary,,False,False,Oswald's Ghost,nm0832134,Robert Stone,Oswald's Ghost,2007.0,Documentary,4393
tt0832937,2007,Best World Documentary,,False,False,Radiant City,nm0122672,Gary Burns,Radiant City,2007.0,Others,194028
tt1032854,2007,Best World Documentary,,False,False,Terror's Advocate,nm0775447,Barbet Schroeder,Terror's Advocate,2007.0,Biography,1387451
tt1010399,2007,Best World Documentary,,False,False,The Big Sellout,nm2623327,Florian Opitz,The Big Sellout,2007.0,Documentary,165539
tt1002668,2007,Best World Documentary,,False,False,Zuoz,nm1834210,Daniella Marxer,Zuoz,2009.0,Documentary,4482
tt0493139,2007,Best Central and Eastern European Documentary,,False,True,It Happened Just Before,nm1115144,Anja Salomonowitz,It Happened Just Before,2007.0,Others,32606
tt1043510,2007,Best Central and Eastern European Documentary,,False,False,The Mosquito Problem and Other Stories,nm1269734,Andrey Paounov,The Mosquito Problem and Other Stories,2007.0,Documentary,3519
tt1342366,2008,Best Czech Documentary,,False,False,RAPublic,nm3254361,Pavel Abrahám,RAPublic,2008.0,Documentary,57736
tt0479468,2008,Best World Documentary,,False,False,Gonzo: The Life and Work of Dr. Hunter S. Thompson,nm0316795,Alex Gibney,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008.0,Biography,3187969
tt0881310,2008,Best World Documentary,,False,False,Modern Life,nm0220019,Raymond Depardon,Modern Life,2009.0,Documentary,2913196
tt0896866,2008,Best World Documentary,,False,False,Standard Operating Procedure,nm0001554,Errol Morris,Standard Operating Procedure,2008.0,Others,658232
tt1313136,2008,Best Central and Eastern European Documentary,,False,False,Mein halbes Leben,nm3174393,Marko Doringer,Mein halbes Leben,2009.0,Documentary,254529
