tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0343422,1980,Golden Montgolfiere,,False,True,On Fertile Lands,nm0456080,Erden Kiral,On Fertile Lands,2008.0,Drama,18329
tt0087763,1983,Golden Montgolfiere,,False,False,My Brother's Wedding,nm0122344,Charles Burnett,My Brother's Wedding,1985.0,Drama,82606
tt0092558,1987,Golden Montgolfiere,,True,True,Motherland Hotel,nm0442693,Ömer Kavur,Motherland Hotel,1987.0,Others,27394
tt0101258,1991,Golden Montgolfiere,,False,True,Days of Being Wild,nm0939182,Kar-Wai Wong,Days of Being Wild,1991.0,Others,6148674
tt0104774,1992,Golden Montgolfiere,,False,True,A Place in the World,nm0034899,Adolfo Aristarain,A Place in the World,1994.0,Drama,348562
tt0103935,1993,Golden Montgolfiere,,False,True,Rebels of the Neon God,nm0158857,Ming-liang Tsai,Rebels of the Neon God,1993.0,Others,100994
tt0115486,1996,Golden Montgolfiere,,False,False,Ah-chung,nm0151844,Tso-chi Chang,Zhong zi,1997.0,Drama,86
tt0109688,1996,Golden Montgolfiere,,False,False,Ashes of Time,nm0939182,Kar-Wai Wong,Ashes of Time,1995.0,Others,3496840
tt0165078,1998,Golden Montgolfiere,,True,False,After Life,nm0466153,Hirokazu Koreeda,After Life,1999.0,Drama,2466253
tt0162050,1998,Golden Montgolfiere,,False,True,Yom Yom,nm0321159,Amos Gitai,Yom Yom,2001.0,Comedy,3549
tt0179137,2000,Golden Montgolfiere,,False,False,Coronation,nm0129028,Silvio Caiozzi,Coronation,2000.0,Drama,19256
tt0266705,2000,Golden Montgolfiere,,False,True,The Child and the Soldier,nm0591925,Reza Mirkarimi,The Child and the Soldier,2000.0,Drama,5761
tt0260332,2000,Golden Montgolfiere,,False,True,The Day I Became a Woman,nm0581863,Marzieh Makhmalbaf,The Day I Became a Woman,2000.0,Comedy,440514
tt0293082,2001,Golden Montgolfiere,,True,False,Delbaran,nm0416119,Abolfazl Jalili,Delbaran,2002.0,Drama,37197
tt0291507,2001,Golden Montgolfiere,,False,False,A Cab for Three,nm0530668,Orlando Lübbert,A Cab for Three,2001.0,Others,45185
tt0313211,2001,Golden Montgolfiere,,False,True,The Wind Horse,nm0031866,Daoud Aoulad-Syad,The Wind Horse,2002.0,Drama,11721
tt0321177,2002,Golden Montgolfiere,,True,False,Altyn Kyrghol,nm0765700,Marat Sarulu,Altyn Kyrghol,2003.0,Others,22643
tt0349204,2002,Golden Montgolfiere,,False,True,Brave 20,nm0910992,Ming-Tai Wang,Brave 20,2002.0,Drama,9536
tt0291988,2002,Golden Montgolfiere,,False,True,Intimate Stories,nm0815044,Carlos Sorin,Intimate Stories,2003.0,Comedy,600121
tt0314871,2002,Golden Montgolfiere,,False,False,Washington Heights,nm0212137,Alfredo Rodriguez de Villa,Washington Heights,2002.0,Drama,455640
tt0324158,2002,ARTE Award,,True,True,Suddenly,nm1195308,Diego Lerman,Suddenly,2003.0,Comedy,276842
tt0402087,2003,Golden Montgolfiere,Best Documentary,False,False,Pulque Song,nm1385225,Everardo González,Pulque Song,2003.0,Others,2832
tt0318988,2003,Golden Montgolfiere,Best Film,False,False,Ana and the Others,nm0613851,Celina Murga,Ana and the Others,2004.0,Drama,23391
tt0377556,2003,Golden Montgolfiere,Best Film,False,True,"Goodbye, Dragon Inn",nm0158857,Ming-liang Tsai,"Goodbye, Dragon Inn",2003.0,Comedy,1470800
tt0357283,2003,Golden Montgolfiere,Best Film,False,True,Silent Waters,nm0838526,Sabiha Sumar,Silent Waters,2004.0,Drama,19769
tt0347131,2003,Golden Montgolfiere,Best Film,False,False,The Magic Gloves,nm0718736,Martín Rejtman,The Magic Gloves,2003.0,Comedy,46593
tt0420548,2004,Golden Montgolfiere,Best Film,False,True,Bombón: El Perro,nm0815044,Carlos Sorin,Bombón: El Perro,2005.0,Drama,1882178
tt0469692,2005,Golden Montgolfiere,Best Film,False,True,A Perfect Day,nm0352858,Joana Hadjithomas,A Perfect Day,2006.0,Drama,6929
tt0395461,2005,Golden Montgolfiere,Best Film,False,True,Bab'Aziz: The Prince That Contemplated His Soul,nm0451592,Nacer Khemir,Bab'Aziz - The Prince That Contemplated His Soul,2008.0,Drama,534521
