tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0295362,2000,Narcisse Award,Best Feature Film,False,False,Chaos,nm0620378,Hideo Nakata,Chaos,2002.0,Others,13011
tt0236638,2000,Narcisse Award,Best Feature Film,False,False,Deep in the Woods,nm0217803,Lionel Delplanque,Deep in the Woods,2000.0,Others,538195
tt0162023,2000,Narcisse Award,Best Feature Film,False,False,Tuvalu,nm0375691,Veit Helmer,Tuvalu,1999.0,Comedy,1250933
tt0355857,2002,Narcisse Award,Best Feature Film,True,False,Onmyoji: The Yin Yang Master,nm0847690,Yôjirô Takita,Onmyoji: The Yin Yang Master,2003.0,Others,45142
tt0294252,2002,Narcisse Award,Best Feature Film,False,False,2009: Lost Memories,nm1045946,Si-myung Lee,2009: Lost Memories,2002.0,Others,17126299
tt0280609,2002,Narcisse Award,Best Feature Film,False,False,Dog Soldiers,nm0551076,Neil Marshall,Dog Soldiers,2002.0,Others,5009677
tt0299873,2002,Narcisse Award,Best Feature Film,False,False,Fausto 5.0,nm1077590,Isidro Ortiz,Fausto 5.0,2003.0,Drama,46097
tt0296042,2002,Narcisse Award,Best Feature Film,False,True,Ichi the Killer,nm0586281,Takashi Miike,Ichi the Killer,2003.0,Others,140538
tt0289043,2003,Narcisse Award,Best Feature Film,True,False,28 Days Later...,nm0000965,Danny Boyle,28 Days Later...,2003.0,Drama,181937516
tt0222812,2003,Narcisse Award,Best Feature Film,False,False,Beyond Re-Animator,nm0951206,Brian Yuzna,Beyond Re-Animator,2003.0,Comedy,420703
tt0286306,2003,Narcisse Award,Best Feature Film,False,False,Deathwatch,nm1068186,M.J. Bassett,Deathwatch,2004.0,Drama,3058840
tt0361668,2003,Narcisse Award,Best Feature Film,False,True,Gozu,nm0586281,Takashi Miike,Gozu,2004.0,Others,157058
tt0352420,2003,Narcisse Award,Best Feature Film,False,True,New Blood,nm1110912,Soi Cheang,New Blood,2002.0,Others,302223
tt0295700,2003,Narcisse Award,Best Feature Film,False,False,Wrong Turn,nm0003343,Rob Schmidt,Wrong Turn,2003.0,Others,61372414
tt0361862,2004,Narcisse Award,Best Fantastic Feature Film,True,True,The Machinist,nm0026442,Brad Anderson,The Machinist,2004.0,Drama,12469815
tt0404777,2004,Narcisse Award,Best Fantastic Feature Film,False,False,Arahan,nm0753423,Seung-wan Ryoo,Arahan,2005.0,Others,52143
tt0345061,2004,Narcisse Award,Best Fantastic Feature Film,False,True,Code 46,nm0935863,Michael Winterbottom,Code 46,2004.0,Drama,1607952
tt0384055,2004,Narcisse Award,Best Fantastic Feature Film,False,False,Dragon Head,nm0407332,Jôji Iida,Dragon Head,2004.0,Drama,11729786
tt0358676,2004,Narcisse Award,Best Fantastic Feature Film,False,False,Il ritorno di Cagliostro,nm0162668,Daniele Ciprì,Il ritorno di Cagliostro,2003.0,Comedy,311405
tt0378428,2004,Narcisse Award,Best Fantastic Feature Film,False,False,Natural City,nm1122911,Byung-chun Min,Natural City,2004.0,Others,167954
tt0366996,2004,Narcisse Award,Best Fantastic Feature Film,False,False,The Saddest Music in the World,nm0534665,Guy Maddin,The Saddest Music in the World,2004.0,Comedy,2133069
tt0413893,2004,Narcisse Award,Best Fantastic Feature Film,False,True,The Taste of Tea,nm0411002,Katsuhito Ishii,The Taste of Tea,2004.0,Comedy,28545
tt0339840,2004,Narcisse Award,Best Fantastic Feature Film,False,False,Undead,nm1294961,Michael Spierig,Undead,2005.0,Others,364587
tt0388473,2004,Audience Award,,True,True,Tokyo Godfathers,nm0464804,Satoshi Kon,Tokyo Godfathers,2003.0,Others,477764
tt0415679,2005,Narcisse Award,Best Feature Film,False,False,Boy Eats Girl,nm0103404,Stephen Bradley,Boy Eats Girl,2008.0,Comedy,157448
tt0407621,2005,Narcisse Award,Best Feature Film,False,False,Calvaire,nm0239001,Fabrice du Welz,Calvaire,2006.0,Others,8171
tt0375100,2005,Narcisse Award,Best Feature Film,False,False,Drowning Ghost,nm0405632,Mikael Håfström,Drowning Ghost,2004.0,Others,87978
tt0399102,2005,Narcisse Award,Best Feature Film,False,False,Godzilla: Final Wars,nm0457565,Ryûhei Kitamura,Godzilla: Final Wars,2004.0,Others,12265370
tt0434179,2005,Narcisse Award,Best Feature Film,False,False,Marebito,nm1234345,Takashi Shimizu,Marebito,2004.0,Drama,163845
tt0403358,2005,Narcisse Award,Best Feature Film,False,False,Night Watch,nm0067457,Timur Bekmambetov,Night Watch,2006.0,Others,66302385
tt0388556,2005,Audience Award,,True,True,Zebraman,nm0586281,Takashi Miike,Zebraman,2007.0,Comedy,3774028
tt0808185,2006,Narcisse Award,Best Feature Film,True,True,The Bothersome Man,nm0509633,Jens Lien,The Bothersome Man,2007.0,Comedy,466230
