tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0164756,1999,Audience Award,,True,False,Mifune,nm0469273,Søren Kragh-Jacobsen,Mifune,1999.0,Comedy,1559874
tt0163185,1999,Norwegian Film Critics Award,,True,True,Rosie,nm0870299,Patrice Toye,Rosie,1999.0,Drama,14684
tt0186730,1999,Ecumenical Film Award,,True,True,It All Starts Today,nm0851724,Bertrand Tavernier,It All Starts Today,1999.0,Drama,18760
tt0154420,1999,Silver Clod,Best Foreign Film of the Year (Beste Utenlandske Spillefilm),True,True,The Celebration,nm0899121,Thomas Vinterberg,The Celebration,1998.0,Drama,5161517
tt0195234,2000,Audience Award,,True,False,Saving Grace,nm0170719,Nigel Cole,Saving Grace,2000.0,Comedy,60201535
tt0120263,2000,Norwegian Film Critics Award,,True,True,Songs from the Second Floor,nm0027815,Roy Andersson,Songs from the Second Floor,2001.0,Comedy,231314
tt0249462,2000,Most Enjoyable Film (Theatre Owners),,True,True,Billy Elliot,nm0197636,Stephen Daldry,Billy Elliot,2000.0,Drama,192689248
tt0157122,2000,Ecumenical Film Award,,True,True,Faithless,nm0880521,Liv Ullmann,Faithless,2000.0,Drama,2433709
tt0186508,2000,Silver Clod,Best Foreign Film of the Year (Beste Utenlandske Spillefilm),True,True,Buena Vista Social Club,nm0000694,Wim Wenders,Buena Vista Social Club,1999.0,Others,46348259
tt0276189,2001,Silver Clod,Best Norwegian Film of the Year (Beste Norske Kinofilm),True,True,Cool and Crazy,nm0421567,Knut Erik Jensen,Cool and Crazy,2001.0,Others,4501
tt0286499,2002,Most Enjoyable Film (Theatre Owners),,True,True,Bend It Like Beckham,nm0149446,Gurinder Chadha,Bend It Like Beckham,2003.0,Comedy,151067881
tt0296712,2002,Nordish Children and Youth Award,,True,True,Catch That Girl,nm0943308,Fabian Wullenweber,Catch That Girl,2002.0,Others,611935
tt0357284,2002,Ecumenical Film Award,,True,True,Vektløs,nm0256896,Sigve Endresen,Vektløs,2002.0,Others,146014
tt0211915,2002,Silver Clod,Best Foreign Film of the Year (Beste Utenlandske Spillefilm),True,True,Amélie,nm0000466,Jean-Pierre Jeunet,Amélie,2002.0,Comedy,297732450
tt0310261,2002,Silver Clod,Best Norwegian Film of the Year (Beste Norske Kinofilm),True,True,Hold My Heart,nm0226148,Trygve Allister Diesen,Hold My Heart,2002.0,Drama,7639
tt0371589,2003,Audience Award,,True,True,Buddy,nm0878763,Morten Tyldum,Buddy,2004.0,Comedy,3534103
tt0328844,2003,Norwegian Film Critics Award,,True,True,The Inheritance,nm0283377,Per Fly,The Inheritance,2004.0,Drama,1965199
tt0253474,2003,Ecumenical Film Award,,True,True,The Pianist,nm0000591,Roman Polanski,The Pianist,2003.0,Others,211770704
tt0318462,2004,Audience Award,,True,False,The Motorcycle Diaries,nm0758574,Walter Salles,The Motorcycle Diaries,2004.0,Others,99655167
tt0475965,2005,Audience Award,,True,True,The Giant,nm0117556,Hallvard Bræin,The Giant,2005.0,Others,412093
tt0456149,2005,Norwegian Film Critics Award,,True,True,The Death of Mr. Lazarescu,nm1090998,Cristi Puiu,The Death of Mr. Lazarescu,2005.0,Drama,382066
tt0427944,2006,Audience Award,,True,False,Thank You for Smoking,nm0718646,Jason Reitman,Thank You for Smoking,2006.0,Comedy,81314404
tt0494271,2007,Audience Award,,True,False,The Unknown Woman,nm0868153,Giuseppe Tornatore,The Unknown Woman,2007.0,Drama,8530239
tt0899215,2007,Audience Award,,False,False,Mars & Venus,nm0197232,Eva Dahr,Mars & Venus,2007.0,Comedy,2030429
tt0951288,2008,Audience Award,,True,False,When a Man Comes Home,nm0899121,Thomas Vinterberg,When a Man Comes Home,2007.0,Comedy,1058844
