tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0133189,1998,German Independence Award - Audience Award,Best Film,False,False,SLC Punk!,nm0580669,James Merendino,SLC Punk!,1999.0,Comedy,921230
tt0157182,1998,German Independence Award - Audience Award,,True,False,Went to Coney Island on a Mission from God... Be Back by Five,nm0770942,Richard Schenkman,Went to Coney Island on a Mission from God... Be Back by Five,1998.0,Drama,25114
tt0225196,2000,German Independence Award - Audience Award,Best Film,False,False,Blue Moon,nm0302410,John A. Gallagher,Blue Moon,2000.0,Comedy,617513
tt0322659,2003,German Independence Award - Audience Award,,True,False,Northfork,nm0689187,Michael Polish,Northfork,2003.0,Drama,4181216
tt0396630,2004,German Independence Award - Audience Award,,True,False,Hardcore,nm1531934,Dennis Iliadis,Hardcore,2005.0,Others,237127
tt0439182,2005,German Independence Award - Audience Award,Best Film,False,False,Four Eyed Monsters,nm1815512,Arin Crumley,Four Eyed Monsters,2005.0,Comedy,8402
tt0381505,2005,German Independence Award - Audience Award,,True,False,Pretty Persuasion,nm0796864,Marcos Siega,Pretty Persuasion,2005.0,Comedy,1129565
tt1130898,2007,German Independence Award - Audience Award,,True,False,Underdogs,nm1992304,Jan-Hinrik Drevs,Underdogs,2008.0,Drama,246811
tt0757214,2007,German Independence Award - Best German Film,,True,True,All the Invisible Things,nm1326842,Jakob M. Erwa,All the Invisible Things,2007.0,Others,60289
tt0475278,2007,Otto Sprenger Award,,True,True,Für den unbekannten Hund,nm0714913,Ben Reding,Für den unbekannten Hund,2007.0,Drama,79669
tt1194235,2008,German Independence Award - Audience Award,,True,True,The Stranger in Me,nm1477692,Emily Atef,The Stranger in Me,2008.0,Drama,99758
tt1173745,2008,German Independence Award - Special Mention,,True,True,Revanche,nm2245192,Irina Potapenko,Revanche,2008.0,Others,1350815
tt1081964,2009,German Independence Award - Audience Award,,False,False,Dirty Mind,nm0887068,Pieter Van Hees,Dirty Mind,2009.0,Others,248031
tt0976246,2009,German Independence Award - Audience Award,,False,False,Little New York,nm0218621,James DeMonaco,Little New York,2009.0,Comedy,902182
tt1145152,2009,German Independence Award - Audience Award,,False,False,Make Yourself at Home,nm0812309,Soopum Sohn,Make Yourself at Home,2008.0,Others,5251
tt1242881,2009,German Independence Award - Audience Award,,False,False,Snow White and Russian Red,nm0958561,Xawery Zulawski,Snow White and Russian Red,2009.0,Comedy,2698568
tt1105512,2009,German Independence Award - Audience Award,,False,False,The Missing Person,nm1231757,Noah Buschel,The Missing Person,2009.0,Drama,43319
tt0829251,2010,German Independence Award - Audience Award,Best Film,False,False,The Haunting,nm0004439,Elio Quiroga,The Haunting,2010.0,Others,316982
tt1605765,2010,German Independence Award - Audience Award,,True,False,The Happy Poet,nm1969831,Paul Gordon,The Happy Poet,2010.0,Comedy,7955
tt1282046,2010,German Independence Award - Audience Award,,False,False,Fort McCoy,nm0993496,Kate Connor,Fort McCoy,2014.0,Drama,169643
tt1305897,2010,German Independence Award - Audience Award,,False,False,Ingrid,nm0181525,Eduard Cortés,Ingrid,2010.0,Drama,2282242
tt1616194,2010,German Independence Award - Audience Award,,False,False,Unter dir die Stadt,nm0387828,Christoph Hochhäusler,Unter dir die Stadt,2011.0,Drama,72540
tt1226274,2011,German Independence Award - Audience Award,,True,False,Happy New Year,nm2959437,K. Lorrel Manning,Happy New Year,2013.0,Drama,16317
tt1680679,2011,German Independence Award - Audience Award,,False,False,Breathing,nm0548686,Karl Markovics,Breathing,2012.0,Drama,900784
tt1680136,2011,German Independence Award - Audience Award,,False,False,Klown,nm1031708,Mikkel Nørgaard,Klown,2012.0,Comedy,14045183
tt1621426,2011,German Independence Award - Audience Award,,False,False,Natural Selection,nm0681852,Robbie Pickering,Natural Selection,2012.0,Comedy,123170
tt1954701,2012,German Independence Award - Audience Award,,True,True,A Coffee in Berlin,nm1673756,Jan-Ole Gerster,A Coffee in Berlin,2014.0,Comedy,3109928
tt1109574,2012,German Independence Award - Audience Award,,False,False,Between Us,nm0592573,Dan Mirvish,Between Us,2012.0,Drama,9677
tt1918727,2012,German Independence Award - Audience Award,,False,False,California Solo,nm1218697,Marshall Lewy,California Solo,2012.0,Drama,34799
tt1995304,2012,German Independence Award - Audience Award,,False,False,Fat Kid Rules the World,nm0000498,Matthew Lillard,Fat Kid Rules the World,2012.0,Comedy,91349
tt2035630,2012,German Independence Award - Audience Award,,False,False,Starlet,nm0048918,Sean Baker,Starlet,2012.0,Drama,261164
tt1408089,2012,German Independence Award - Audience Award,,False,False,Still Life,nm2098964,Sebastian Meise,Still Life,2011.0,Drama,25752
tt2201548,2013,German Independence Award - Audience Award,,False,False,A Teacher,nm4227232,Hannah Fidell,A Teacher,2013.0,Drama,18221
tt1959438,2013,German Independence Award - Audience Award,,False,False,Kiss of the Damned,nm0144018,Xan Cassavetes,Kiss of the Damned,2013.0,Drama,32390
