tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0119590,1997,FIPRESCI Prize,,True,True,Ma vie en rose,nm0075626,Alain Berliner,Ma Vie en Rose,1997.0,Drama,6850660
tt0157016,1998,FIPRESCI Prize,,True,True,I Stand Alone,nm0637615,Gaspar Noé,I Stand Alone,1998.0,Others,21727
tt0165901,1999,Jury Prize,,True,True,Okraina,nm0527494,Pyotr Lutsik,Okraina,1998.0,Drama,8716
tt0151568,2000,Panorama Jury Prize,,True,True,Topsy-Turvy,nm0005139,Mike Leigh,Topsy-Turvy,2000.0,Others,18687656
tt0244316,2000,Panorama Jury Prize,,True,True,Yi yi,nm0945981,Edward Yang,Yi Yi,2000.0,Drama,3426390
tt0148103,2000,Panorama Jury Prize - Honorable Mention,,True,True,Set Me Free,nm0690794,Léa Pool,Set Me Free,1999.0,Drama,225015
tt0169302,2000,Panorama Jury Prize - Honorable Mention,,True,True,The Terrorist,nm0007144,Santosh Sivan,The Terrorist,1998.0,Drama,488148
tt0283509,2001,Best First Feature,,True,True,No Man's Land,nm0849786,Danis Tanovic,No Man's Land,2001.0,Drama,8443038
tt0262196,2001,Best First Feature - Honorable Mention,,True,True,19,nm0913820,Kazushi Watanabe,19,2002.0,Comedy,502121
tt0259072,2001,Best First Feature - Honorable Mention,,True,True,A Time for Drunken Horses,nm0315842,Bahman Ghobadi,A Time for Drunken Horses,2000.0,Drama,1791720
tt0275847,2002,Audience Award,,True,True,Lilo & Stitch,nm0213450,Dean DeBlois,Lilo & Stitch,2002.0,Others,595102240
tt0347105,2003,Best First Feature,,True,True,Fuse,nm0952429,Pjer Zalica,Fuse,2003.0,Comedy,84315
tt0416032,2004,Jury Prize,,True,True,Mila ot Mars,nm1641326,Zornitsa Sophia,Mila from Mars,2005.0,Drama,65365
tt0420233,2004,Special Jury Prize,,True,True,A Wonderful Night in Split,nm0652443,Arsen A. Ostojic,A Wonderful Night in Split,2005.0,Drama,561
tt0361596,2004,Audience Award,,True,True,Fahrenheit 9/11,nm0601619,Michael Moore,Fahrenheit 9/11,2004.0,Others,460231107
tt0439668,2005,Jury Prize,Best Film,True,True,Lady Zee,nm0006590,Georgi Djulgerov,Lady Zee,2006.0,Drama,11279
tt0449642,2005,Heart of Sarajevo,Best Film,False,False,Ryna,nm1552776,Ruxandra Zenide,Ryna,2006.0,Drama,6280
tt0476999,2006,Jury Prize,Best Film,True,True,Fraulein,nm0754098,Susann Rüdlinger,Fraulein,2007.0,Drama,14223
tt0855843,2007,Special Jury Prize,,True,True,I Am from Titov Veles,nm0835294,Teona Strugar Mitevska,I Am from Titov Veles,2008.0,Drama,8457
tt0466100,2007,Audience Award,Best Film - Section Teenarena,True,True,Max Minsky and Me,nm0433141,Anna Justice,Max Minsky and Me,2008.0,Comedy,189468
tt1032856,2007,Audience Award,,True,True,The Band's Visit,nm0464115,Eran Kolirin,The Band's Visit,2008.0,Comedy,21075865
tt0499262,2007,Heart of Sarajevo,Best Film,True,False,Takva: A Man's Fear of God,nm1699703,Özer Kiziltan,Takva: A Man's Fear of God,2006.0,Drama,2584385
tt1043510,2007,Human Rights Award,,True,True,The Mosquito Problem and Other Stories,nm1269734,Andrey Paounov,The Mosquito Problem and Other Stories,2007.0,Others,3519
tt1281962,2008,Special Jury Prize,,True,True,March,nm0405551,Klaus Händl,March,2008.0,Drama,28144
tt0114814,2008,Audience Award,Best Feature Film,True,True,The Usual Suspects,nm0001741,Bryan Singer,The Usual Suspects,1995.0,Others,77870639
tt0940688,2008,Audience Award,TeenArena's Audience Award,True,True,Dunya & Desie,nm0623937,Dana Nechushtan,Dunya & Desie,2009.0,Comedy,2631179
tt0910860,2008,C.I.C.A.E. Award,,True,True,Delta,nm0610960,Kornél Mundruczó,Delta,2010.0,Drama,38960
tt1379182,2009,Special Jury Prize,Feature Film,True,True,Dogtooth,nm0487166,Yorgos Lanthimos,Dogtooth,2010.0,Drama,591748
tt1422101,2009,Heart of Sarajevo,Best Film,True,True,Ordinary People,nm0673829,Vladimir Perisic,Ordinary People,2010.0,Drama,5753
tt1426361,2009,C.I.C.A.E. Award,,True,True,Eastern Plays,nm1189816,Kamen Kalev,Eastern Plays,2009.0,Drama,67825
tt1312137,2009,EDN Talent Grant,,True,True,On the Way to School,nm2917126,Özgür Dogan,On the Way to School,2009.0,Others,472747
tt1527049,2010,Special Jury Prize,Best Film,True,True,Tender Son: The Frankenstein Project,nm0610960,Kornél Mundruczó,Tender Son: The Frankenstein Project,2010.0,Drama,26524
tt1320254,2010,Audience Award,Best Documentary Feature,True,True,Presumed Guilty,nm2370297,Roberto Hernández,Presumed Guilty,2010.0,Others,6891736
tt1417067,2010,Audience Award,Best Feature Film,True,True,Cirkus Columbia,nm0849786,Danis Tanovic,Cirkus Columbia,2012.0,Comedy,19924
tt1516593,2010,Heart of Sarajevo,Best Film,True,False,Tilva Rosh,nm3116547,Nikola Lezaic,Tilva Rosh,2011.0,Drama,22183
