tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0099740,1990,Bronze Horse,,False,False,Hardware,nm0822582,Richard Stanley,Hardware,1990.0,Others,22065146
tt0100150,1990,Bronze Horse,,False,False,Miller's Crossing,nm0001054,Joel Coen,Miller's Crossing,1990.0,Others,19450012
tt0100315,1990,Bronze Horse,,False,False,Overseas,nm0747690,Brigitte Roüan,Overseas,1991.0,Drama,453445
tt0100519,1990,Bronze Horse,,False,False,Rosencrantz & Guildenstern Are Dead,nm0001779,Tom Stoppard,Rosencrantz & Guildenstern Are Dead,1991.0,Comedy,2802322
tt0100469,1990,Bronze Horse,,False,True,The Reflecting Skin,nm0726000,Philip Ridley,The Reflecting Skin,1991.0,Drama,64044
tt0100935,1990,Bronze Horse,,False,False,Wild at Heart,nm0000186,David Lynch,Wild at Heart,1990.0,Comedy,56547750
tt0101829,1991,Bronze Horse,,True,False,Europa,nm0001885,Lars von Trier,Europa,1992.0,Drama,3691138
tt0101410,1991,Bronze Horse,,False,False,Barton Fink,nm0001054,Joel Coen,Barton Fink,1991.0,Comedy,23025282
tt0101507,1991,Bronze Horse,,False,False,Boyz n the Hood,nm0005436,John Singleton,Boyz n the Hood,1991.0,Others,215833249
tt0101597,1991,Bronze Horse,,False,False,Closet Land,nm0080233,Radha Bharadwaj,Closet Land,1991.0,Drama,980592
tt0101773,1991,Bronze Horse,,False,False,Drive,nm0506461,Jefery Levy,Drive,1992.0,Others,54715
tt0102566,1991,Bronze Horse,,False,False,Night and Day,nm0001901,Chantal Akerman,Night and Day,1992.0,Drama,23040
tt0101640,1991,Bronze Horse,,False,False,Raise the Red Lantern,nm0955443,Yimou Zhang,Raise the Red Lantern,1992.0,Drama,9550711
tt0099634,1991,Bronze Horse,,False,False,The Garden,nm0418746,Derek Jarman,The Garden,1990.0,Drama,20082
tt0103223,1991,Bronze Horse,,False,False,To Want to Fly,nm0629309,Maurizio Nichetti,To Want to Fly,1993.0,Others,279099
tt0105236,1992,Bronze Horse,,True,False,Reservoir Dogs,nm0000233,Quentin Tarantino,Reservoir Dogs,1992.0,Others,10532387
tt0105275,1992,Best Actress,,True,True,Romper Stomper,nm0571537,Jacqueline McKenzie,Romper Stomper,1992.0,Others,631985
tt0108026,1993,Best Actor,,True,True,The Saint of Fort Washington,nm0000369,Matt Dillon,The Saint of Fort Washington,1993.0,Drama,471323
tt0110912,1994,Bronze Horse,,True,True,Pulp Fiction,nm0000233,Quentin Tarantino,Pulp Fiction,1994.0,Others,550323725
tt0110882,1994,Bronze Horse,,False,True,Before the Rain,,[],Before the Rain,1995.0,Drama,2587138
tt0109424,1994,Bronze Horse,,False,True,Chungking Express,,[],Chungking Express,1996.0,Comedy,2019948
tt0109445,1994,Bronze Horse,,False,False,Clerks,,[],Clerks,1994.0,Comedy,11015936
tt0109382,1994,Bronze Horse,,False,False,Dear Diary,,[],Dear Diary,1994.0,Others,808376
tt0110374,1994,Bronze Horse,,False,False,Loaded,,[],Loaded,1996.0,Drama,144633
tt0110395,1994,Bronze Horse,,False,False,Love and a .45,,[],Love and a .45,1994.0,Others,120177
tt0108260,1994,Bronze Horse,,False,False,Suture,,[],Suture,1994.0,Drama,359305
tt0111048,1994,FIPRESCI Prize,Indie 5,False,False,S.F.W.,nm0506461,Jefery Levy,S.F.W.,1995.0,Comedy,215976
tt0112541,1995,Bronze Horse,,False,False,Blue in the Face,,[],Blue in the Face,1995.0,Comedy,4218573
tt0112604,1995,Bronze Horse,,False,False,Butterfly Kiss,,[],Butterfly Kiss,1996.0,Comedy,286534
tt0112851,1995,Bronze Horse,,False,False,Desperado,,[],Desperado,1995.0,Others,84922310
tt0113677,1995,Bronze Horse,,False,True,Living in Oblivion,,[],Living in Oblivion,1995.0,Comedy,3726107
tt0112682,1995,Bronze Horse,,False,False,The City of Lost Children,,[],The City of Lost Children,1995.0,Others,5860250
tt0116860,1996,Bronze Horse,,True,False,"Pretty Village, Pretty Flame",nm0236729,Srdjan Dragojevic,"Pretty Village, Pretty Flame",1996.0,Comedy,681
tt0115736,1996,Bronze Horse,,False,True,Bound,,[],Bound,1996.0,Others,12276183
tt0116594,1996,Bronze Horse,,False,True,I Shot Andy Warhol,,[],I Shot Andy Warhol,1996.0,Others,6121164
tt0116844,1996,Bronze Horse,,False,False,Lea,,[],Lea,1997.0,Drama,49594
tt0114906,1996,Bronze Horse,,False,False,Welcome to the Dollhouse,,[],Welcome to the Dollhouse,1996.0,Comedy,14911924
tt0115751,1996,FIPRESCI Prize,Northern Lights Section,True,True,Breaking the Waves,nm0001885,Lars von Trier,Breaking the Waves,1996.0,Drama,12256307
tt0119527,1997,Best Screenplay,,True,True,Deceiver,nm0665322,Josh Pate,Deceiver,1998.0,Others,1810446
tt0118887,1997,Best Actor,,True,True,Cop Land,nm0000230,Sylvester Stallone,Cop Land,1997.0,Others,142592564
tt0119506,1997,Audience Award,,True,True,Lawn Dogs,nm0241090,John Duigan,Lawn Dogs,1998.0,Drama,334045
tt0118789,1998,Bronze Horse,,False,False,Buffalo '66,nm0001252,Vincent Gallo,Buffalo '66,1998.0,Comedy,7447255
tt0150143,1998,Bronze Horse,,False,False,Claire Dolan,nm0449868,Lodge Kerrigan,Claire Dolan,2000.0,Drama,28534
tt0147612,1998,Bronze Horse,,False,False,Happiness,nm0001754,Todd Solondz,Happiness,1998.0,Comedy,9293255
tt0139362,1998,Bronze Horse,,False,False,High Art,nm0158966,Lisa Cholodenko,High Art,1998.0,Drama,6146371
tt0157016,1998,Bronze Horse,,False,False,I Stand Alone,nm0637615,Gaspar Noé,I Stand Alone,1998.0,Others,21727
tt0139615,1998,Bronze Horse,,False,False,Slam,nm0505660,Marc Levin,Slam,1998.0,Drama,3147039
tt0122515,1998,Bronze Horse,,False,True,The Acid House,nm0006476,Paul McGuigan,The Acid House,1999.0,Comedy,221138
tt0118826,1998,Bronze Horse,,False,False,The Castle,nm0803203,Rob Sitch,The Castle,1999.0,Comedy,2698848
tt0120449,1998,Bronze Horse,,False,False,The Dreamlife of Angels,nm0957794,Erick Zonca,The Dreamlife of Angels,1998.0,Drama,5380740
tt0201538,1999,Bronze Horse,,True,False,Les convoyeurs attendent,nm0547017,Benoît Mariage,Les convoyeurs attendent,1999.0,Comedy,8383
tt0171804,1999,Bronze Horse,,False,True,Boys Don't Cry,nm0005303,Kimberly Peirce,Boys Don't Cry,2000.0,Others,34453026
tt0192194,1999,Bronze Horse,,False,False,Julien Donkey-Boy,nm0005101,Harmony Korine,Julien Donkey-Boy,1999.0,Comedy,270197
tt0185101,1999,Bronze Horse,,False,False,Pups,nm0038609,Ash Baron-Cohen,Pups,1999.0,Others,4889
tt0138874,1999,Bronze Horse,,False,False,Three Seasons,nm0004784,Tony Bui,Three Seasons,1999.0,Drama,6217098
tt0162830,1999,Bronze Horse,,False,False,Twin Falls Idaho,nm0689187,Michael Polish,Twin Falls Idaho,1999.0,Drama,3065148
tt0260688,2000,Bronze Horse,,True,False,Ali Zaoua: Prince of the Streets,nm0043953,Nabil Ayouch,Ali Zaoua: Prince of the Streets,2001.0,Others,9515
tt0204137,2000,Bronze Horse,,False,False,Animal Factory,nm0000114,Steve Buscemi,Animal Factory,2000.0,Others,132633
tt0249380,2000,Bronze Horse,,False,False,Baise-moi,nm0221591,Virginie Despentes,Rape Me,2001.0,Others,1966329
tt0249462,2000,Bronze Horse,,False,True,Billy Elliot,nm0197636,Stephen Daldry,Billy Elliot,2000.0,Drama,192689248
tt0221073,2000,Bronze Horse,,False,True,Chopper,nm0231596,Andrew Dominik,Chopper,2001.0,Others,689395
tt0262432,2000,Bronze Horse,,False,True,George Washington,nm0337773,David Gordon Green,George Washington,2000.0,Drama,792529
tt0210075,2000,Bronze Horse,,False,False,Girlfight,nm0476201,Karyn Kusama,Girlfight,2000.0,Drama,4746554
tt0219288,2000,Bronze Horse,,False,False,Loners,nm0648576,David Ondrícek,Loners,2002.0,Comedy,1001419
tt0250478,2000,Bronze Horse,,False,True,Nico and Dani,nm0310747,Cesc Gay,Nico and Dani,2001.0,Comedy,1080645
tt0180093,2000,Bronze Horse,,False,True,Requiem for a Dream,nm0004716,Darren Aronofsky,Requiem for a Dream,2000.0,Drama,16192916
tt0189998,2000,Bronze Horse,,False,False,Shadow of the Vampire,nm0580729,E. Elias Merhige,Shadow of the Vampire,2001.0,Drama,28384651
tt0251191,2000,Bronze Horse,,False,True,The Low Down,nm0861899,Jamie Thraves,The Low Down,2001.0,Drama,46797
