tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0118843,1998,Audience Award,,True,True,"Black Cat, White Cat",nm0001437,Emir Kusturica,"Black Cat, White Cat",1998.0,Comedy,1095263
tt0154420,1998,Estonian Film Critics Award,,True,True,The Celebration,nm0899121,Thomas Vinterberg,The Celebration,1998.0,Drama,5161517
tt0165798,1999,Audience Award,,True,True,Ghost Dog: The Way of the Samurai,nm0000464,Jim Jarmusch,Ghost Dog: The Way of the Samurai,2000.0,Others,18939960
tt0168629,2000,Audience Award,,True,True,Dancer in the Dark,nm0001885,Lars von Trier,Dancer in the Dark,2000.0,Others,64938440
tt0209463,2000,Estonian Film Critics Award,,True,True,The Wind Will Carry Us,nm0452102,Abbas Kiarostami,The Wind Will Carry Us,2000.0,Drama,767560
tt0211915,2001,Audience Award,,True,True,Amélie,nm0000466,Jean-Pierre Jeunet,Amélie,2002.0,Comedy,297732450
tt0279064,2001,Baltic Distribution Award,,True,True,Elling,nm0639033,Petter Næss,Elling,2002.0,Comedy,3349866
tt0287467,2002,Audience Award,,True,True,Talk to Her,nm0000264,Pedro Almodóvar,Talk to Her,2003.0,Drama,103487738
tt0318411,2002,Estonian Film Critics Award,,True,True,The Magdalene Sisters,nm0611932,Peter Mullan,The Magdalene Sisters,2003.0,Drama,35990538
tt0340310,2002,Just Film Award,Best Character,True,True,Regína,nm1156403,María Sigurðardóttir,Regína,2003.0,Comedy,5857
tt0290006,2002,Just Film Award,Best Children's Film,True,True,My Sister's Kids,nm0421716,Tomas Villum Jensen,My Sister's Kids,2001.0,Others,1603852
tt0328132,2002,Just Film Award,Best Youth Film,True,True,One-Way Ticket to Mombasa,nm0876726,Hannu Tuomainen,One-Way Ticket to Mombasa,2002.0,Comedy,1428386
tt0323443,2003,Audience Award,,True,True,Upswing,nm0904439,Johanna Vuoksenmaa,Upswing,2003.0,Comedy,1866621
tt0346094,2003,Estonian Film Critics Award,,True,True,Uzak,nm0149196,Nuri Bilge Ceylan,Distant,2003.0,Drama,569927
tt0376968,2003,FIPRESCI Prize,,True,True,The Return,nm1168657,Andrey Zvyagintsev,The Return,2004.0,Drama,12418693
tt0321436,2003,Just Film Award,Best Character,True,True,Bibi Blocksberg,nm0403101,Hermine Huntgeburth,Bibi Blocksberg,2003.0,Comedy,14263622
tt0311141,2003,Just Film Award,Best Children's Film,True,True,The Flying Classroom,nm0927718,Tomy Wigand,The Flying Classroom,2003.0,Comedy,12955326
