tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0086969,1987,Audience Award,,True,True,Birdy,nm0000570,Alan Parker,Birdy,1984.0,Drama,7062371
tt0085809,1988,Audience Award,,True,True,Koyaanisqatsi,nm0716585,Godfrey Reggio,Koyaanisqatsi,1982.0,Others,9284131
tt0092929,1989,Audience Award,,True,True,Drowning by Numbers,nm0000425,Peter Greenaway,Drowning by Numbers,1991.0,Comedy,1596321
tt0097165,1990,Audience Award,,True,True,Dead Poets Society,nm0001837,Peter Weir,Dead Poets Society,1989.0,Comedy,683081723
tt0101765,1991,Audience Award,,True,True,The Double Life of Véronique,nm0001425,Krzysztof Kieslowski,The Double Life of Véronique,1991.0,Drama,7705525
tt0094651,1992,Audience Award,Feature Film,False,False,Amsterdamned,nm0530975,Dick Maas,Amsterdamned,1988.0,Others,416366
tt0102722,1992,Audience Award,,True,True,Prospero's Books,nm0000425,Peter Greenaway,Prospero's Books,1991.0,Drama,6520202
tt0106307,1994,Audience Award,,True,True,Arizona Dream,nm0001437,Emir Kusturica,Arizona Dream,1994.0,Comedy,385022
tt0110882,1995,Audience Award,,True,True,Before the Rain,nm0541391,Milcho Manchevski,Before the Rain,1995.0,Drama,2587138
tt0112379,1996,Audience Award,Feature Film,False,False,Antonia's Line,nm0331296,Marleen Gorris,Antonia's Line,1996.0,Comedy,13986008
tt0117951,1996,Audience Award,,True,True,Trainspotting,nm0000965,Danny Boyle,Trainspotting,1996.0,Drama,53748642
tt0119164,1997,Audience Award,,True,True,The Full Monty,nm0146341,Peter Cattaneo,The Full Monty,1997.0,Comedy,481750419
tt0119448,1998,Audience Award,Feature Film,False,False,Character,nm0226016,Mike van Diem,Character,1998.0,Others,1966185
tt0119512,1998,Audience Award,Feature Film,False,False,Left Luggage,nm0469103,Jeroen Krabbé,Left Luggage,1998.0,Drama,4956415
tt0118799,1998,Audience Award,,True,True,Life Is Beautiful,nm0000905,Roberto Benigni,Life Is Beautiful,1999.0,Comedy,446878134
tt0118849,1999,Audience Award,,True,True,Children of Heaven,nm0006498,Majid Majidi,Children of Heaven,1999.0,Drama,2905230
tt0219288,2000,Audience Award,,True,True,Loners,nm0648576,David Ondrícek,Loners,2002.0,Comedy,1001419
tt0243862,2001,Audience Award,,True,True,Italian for Beginners,nm0771054,Lone Scherfig,Italian for Beginners,2002.0,Comedy,29698755
tt0279064,2002,Audience Award,,True,True,Elling,nm0639033,Petter Næss,Elling,2002.0,Comedy,3349866
tt0338949,2002,Grand Prix,,True,False,Edi,nm0970382,Piotr Trzaskalski,Edi,2003.0,Drama,1843337
tt0285848,2002,Special Mention,,True,True,The Orphan of Anyang,nm0910852,Chao Wang,The Orphan of Anyang,2001.0,Drama,125893
tt0243859,2002,Special Mention,,True,True,The Wild Bees,nm0805246,Bohdan Sláma,The Wild Bees,2002.0,Comedy,107394
tt0245157,2003,Audience Award,Feature Film,False,False,Zus & zo,nm0644309,Paula van der Oest,Zus & Zo,2003.0,Comedy,465087
tt0371589,2003,Audience Award,,True,True,Buddy,nm0878763,Morten Tyldum,Buddy,2004.0,Comedy,3534103
tt0308129,2003,Special Mention,,True,True,Conspiracy of Silence,nm1009027,John Deery,Conspiracy of Silence,2003.0,Others,7196
tt0336264,2003,Special Mention,,True,True,Since Otar Left,nm0078465,Julie Bertuccelli,Since Otar Left,2003.0,Drama,2741543
tt0373981,2004,Audience Award,,True,True,Kontroll,nm0030735,Nimród Antal,Kontroll,2004.0,Comedy,2038709
tt0420318,2004,Best Script,,True,True,The Wedding,nm1500530,Wojciech Smarzowski,The Wedding,2004.0,Comedy,938332
tt0418455,2005,Audience Award,,True,True,Adam's Apples,nm0421314,Anders Thomas Jensen,Adam's Apples,2006.0,Comedy,3098912
tt0446460,2006,Audience Award,Feature Film,False,False,Het schnitzelparadijs,nm0465551,Martin Koolhoven,Het schnitzelparadijs,2005.0,Comedy,4609435
tt0393423,2006,Audience Award,Feature Film,False,False,Leef!,nm0885993,Willem van de Sande Bakhuyzen,Leef!,2005.0,Drama,857602
tt0405094,2006,Audience Award,,True,True,The Lives of Others,nm0003697,Florian Henckel von Donnersmarck,The Lives of Others,2007.0,Drama,110310857
tt0847877,2006,Grand Prix,,True,False,Euphoria,nm2196782,Ivan Vyrypaev,Euphoria,2007.0,Drama,470440
tt0421068,2006,Grand Prix,,False,False,Kontakt,nm1690993,Sergej Stanojkovski,Kontakt,2006.0,Drama,16216
tt0492490,2006,Grand Prix,,False,False,Son of Man,nm0233919,Mark Dornford-May,Son of Man,2006.0,Drama,2871
tt0479506,2006,Grand Prix,,False,False,The Blossoming of Maximo Oliveros,nm2039919,Auraeus Solito,The Blossoming of Maximo Oliveros,2006.0,Drama,85824
tt0431321,2006,Grand Prix,,False,False,The Dog Pound,nm0631315,Manolo Nieto,The Dog Pound,2006.0,Drama,6088
tt0819895,2006,Grand Prix,,False,False,The Paper Will Be Blue,nm1364086,Radu Muntean,The Paper Will Be Blue,2006.0,Others,22058
tt0497539,2006,Grand Prix,,False,False,Uro,nm1000820,Stefan Faldbakken,Uro,2006.0,Others,2557456
tt0841182,2006,Grand Prix,,False,False,Valerie,nm1455321,Birgit Möller,Valerie,2007.0,Drama,52452
tt0880633,2006,Central and Eastern Europe Award,,False,False,Monkeys in Winter,nm0027978,Milena Andonova,Monkeys in Winter,2006.0,Drama,10603
tt0799991,2006,Central and Eastern Europe Award,,False,False,The Way I Spent the End of the World,nm0594198,Cãtãlin Mitulescu,The Way I Spent the End of the World,2006.0,Drama,372205
tt0758939,2006,Central and Eastern Europe Award,,False,False,Un acoperis deasupra capului,nm1110558,Adrian Popovici,Un acoperis deasupra capului,2006.0,Drama,1456
tt0464955,2006,Central and Eastern Europe Award,,False,False,White Palms,nm0354451,Szabolcs Hajdu,White Palms,2007.0,Drama,66001
tt0841992,2006,Best Documentary,,False,False,Absolute Wilson,nm0653267,Katharina Otto-Bernstein,Absolute Wilson,2006.0,Others,208879
tt2675106,2006,Best Documentary,,False,False,Cha-Ci-Pe,nm0417448,Miroslav Janek,Cha-Ci-Pe,2006.0,Others,2424
tt0499019,2006,Best Documentary,,False,False,Estrellas de La Línea,nm1320860,Chema Rodríguez,Estrellas de La Línea,2006.0,Others,48874
tt0479046,2006,Best Documentary,,False,False,Ghosts of Cité Soleil,nm1300606,Asger Leth,Ghosts of Cité Soleil,2006.0,Others,336527
tt0492464,2006,Best Documentary,,False,False,In the Pit,nm0750032,Juan Carlos Rulfo,In the Pit,2006.0,Others,261803
tt0825671,2006,Best Documentary,,False,False,Life in Loops (A Megacities RMX),nm1119183,Timo Novotny,Life in Loops (A Megacities RMX),2006.0,Others,2349
tt0436231,2006,Best Documentary,,False,False,The Devil and Daniel Johnston,nm0275418,Jeff Feuerzeig,The Devil and Daniel Johnston,2005.0,Others,1025719
tt0476681,2007,Audience Award,Feature Film,False,False,Ober,nm0912334,Alex van Warmerdam,Ober,2006.0,Comedy,1089993
tt1032856,2007,Audience Award,,True,True,The Band's Visit,nm0464115,Eran Kolirin,The Band's Visit,2008.0,Comedy,21075865
tt1032941,2007,Grand Prix,,True,False,Night Train,nm0224801,Yi'nan Diao,Night Train,2008.0,Drama,41555
tt0775417,2007,Grand Prix,,False,False,Am Ende kommen Touristen,nm1840944,Robert Thalheim,Am Ende kommen Touristen,2008.0,Drama,1003821
tt0834170,2007,Grand Prix,,False,False,Autumn Ball,nm1803711,Veiko Õunpuu,Autumn Ball,2007.0,Drama,20758
tt0812243,2007,Grand Prix,,False,True,Ex Drummer,nm0607831,Koen Mortier,Ex Drummer,2008.0,Comedy,270000
tt0812366,2007,Grand Prix,,False,False,Pudor,nm0880554,Tristán Ulloa,Pudor,2007.0,Drama,427852
tt0425990,2007,Grand Prix,,False,False,Red Ants,nm0139543,Stéphan Carpiaux,Red Ants,2007.0,Drama,8366
tt0495040,2007,Grand Prix,,False,True,The Art of Crying,nm0283844,Peter Schønau Fog,The Art of Crying,2007.0,Comedy,20783
tt0893507,2007,Grand Prix,,False,False,The International,nm1021563,Muharrem Gulmez,Beynelmilel,2006.0,Comedy,3052572
tt1058027,2007,Grand Prix,,False,False,The Milky Way,nm0150525,Lina Chamie,The Milky Way,2008.0,Drama,59120
tt1006823,2007,Grand Prix,,False,False,The Mugger,nm1458527,Pablo Fendrik,The Mugger,2008.0,Drama,6599
tt1499354,2007,Grand Prix,,False,False,The Wonder Years,nm3587010,Hee-jung Kim,The Wonder Years,2007.0,Drama,43433
tt0813630,2007,Warsaw Award,,False,False,A Stray Girlfriend,nm1195064,Ana Katz,A Stray Girlfriend,2007.0,Drama,65499
tt0878674,2007,Warsaw Award,,False,False,Garage,nm1049433,Lenny Abrahamson,Garage,2008.0,Drama,1156850
tt0780621,2007,Warsaw Award,,False,False,Gone with the Woman,nm0639033,Petter Næss,Gone with the Woman,2007.0,Comedy,2959250
tt0476461,2007,Warsaw Award,,False,False,Outside Love,nm1174251,Daniel Espinosa,Outside Love,2007.0,Drama,57984
tt0988108,2007,Warsaw Award,,False,True,The Class,nm0704664,Ilmar Raag,The Class,2008.0,Drama,8722
tt0825749,2007,Warsaw Award,,False,False,The Investigation,nm0872706,Iglika Triffonova,The Investigation,2008.0,Others,4556
tt0839967,2007,Warsaw Award,,False,False,The Rest is Silence,nm0135952,Nae Caranfil,The Rest is Silence,2008.0,Comedy,123621
tt1047845,2007,Warsaw Award,,False,False,Travelling with Pets,nm0832669,Vera Storozheva,Travelling with Pets,2008.0,Drama,56601
tt0910888,2007,Free Spirit Award,,True,True,"Funuke Show Some Love, You Losers!",nm2469894,Daihachi Yoshida,"Funuke Show Some Love, You Losers!",2009.0,Drama,843
tt0494284,2007,Free Spirit Award,,False,False,Cover Boy... Last Revolution,nm0025251,Carmine Amoroso,Cover Boy... Last Revolution,2008.0,Drama,176148
tt0383064,2007,Free Spirit Award,,False,False,Dolina,nm0436878,Zoltán Kamondi,Dolina,2007.0,Drama,1953
tt0814143,2007,Free Spirit Award,,False,False,Héros,nm1315212,Bruno Merle,Héros,2007.0,Others,329602
tt0477331,2007,Free Spirit Award,,False,False,Lo que sé de Lola,nm1503559,Javier Rebollo,Lo que sé de Lola,2006.0,Drama,10613
tt0800205,2007,Free Spirit Award,,False,True,Skills Like This,nm0592167,Monty Miranda,Skills Like This,2009.0,Comedy,151767
tt0989030,2007,Best Documentary,,False,False,M,nm2594154,Nicolás Prividera,M,2007.0,Others,6488
tt0912592,2007,Best Documentary,,False,False,My Kid Could Paint That,nm0052737,Amir Bar-Lev,My Kid Could Paint That,2007.0,Others,617657
tt0823668,2007,Best Documentary,,False,False,Screamers,nm2013302,Carla Garapedian,Screamers,2006.0,Others,131785
tt1043510,2007,Best Documentary,,False,False,The Mosquito Problem and Other Stories,nm1269734,Andrey Paounov,The Mosquito Problem and Other Stories,2007.0,Others,3519
tt0954008,2007,Best Documentary,,False,False,The Singing Revolution,nm2537532,Maureen Castle Tusty,The Singing Revolution,2007.0,Others,1038697
tt1047007,2008,Audience Award,Documentary,True,True,Young@Heart,nm0908223,Stephen Walker,Young@Heart,2008.0,Others,13081264
tt1185616,2008,Audience Award,Feature Film,True,True,Waltz with Bashir,nm0284369,Ari Folman,Waltz with Bashir,2008.0,Others,15641444
tt0093596,2008,Audience Award,Feature Film,False,False,Nadine,nm0116830,Erik de Bruyn,Nadine,1987.0,Comedy,25330663
tt1227796,2008,Grand Prix,,True,False,Yuri's Day,nm1970598,Kirill Serebrennikov,Yuri's Day,2008.0,Drama,85675
tt1263736,2008,Grand Prix,,False,False,33 Scenes from Life,nm0844333,Malgorzata Szumowska,33 Scenes from Life,2009.0,Drama,1040211
tt0211946,2008,Grand Prix,,False,False,Berlin Calling,nm0836708,Hannes Stöhr,Berlin Calling,2009.0,Comedy,719509
tt1204366,2008,Grand Prix,,False,False,Desierto adentro,nm0687751,Rodrigo Plá,Desierto adentro,2009.0,Drama,58512
tt1169272,2008,Grand Prix,,False,False,Heart of Fire,nm0266510,Luigi Falorni,Heart of Fire,2008.0,Others,20997
tt1270799,2008,Grand Prix,,False,False,Katia's Sister,nm0209010,Mijke de Jong,Katia's Sister,2009.0,Drama,7998
tt0944958,2008,Grand Prix,,False,False,Love and Other Crimes,nm1313590,Stefan Arsenijevic,Love and Other Crimes,2008.0,Comedy,280149
tt1267406,2008,Grand Prix,,False,False,Mar nero,nm0094137,Federico Bondi,Mar nero,2009.0,Drama,179002
tt0972883,2008,Grand Prix,,False,False,Red,nm0226148,Trygve Allister Diesen,Red,2008.0,Drama,18612
tt1087578,2008,Grand Prix,,False,False,Still Walking,nm0466153,Hirokazu Koreeda,Still Walking,2009.0,Drama,4266931
tt0930856,2008,Grand Prix,,False,False,The Fourth Man,nm0954099,Dejan Zecevic,The Fourth Man,2007.0,Others,417671
tt0857191,2008,Grand Prix,,False,False,The Visitor,nm0565336,Tom McCarthy,The Visitor,2008.0,Drama,32446338
tt1178197,2008,Grand Prix,,False,True,The World is Big and Salvation Lurks Around the Corner,nm0464526,Stephan Komandarev,The World is Big and Salvation Lurks Around the Corner,2010.0,Drama,236935
tt1223975,2008,Special Jury Award,Free Spirit Competition,True,True,Tony Manero,nm1883257,Pablo Larraín,Tony Manero,2008.0,Drama,827071
tt1183901,2008,Warsaw Award,Feature Film,False,False,End of the Line,nm0825756,Gustavo Steinberg,End of the Line,2008.0,Comedy,7288
tt0380249,2008,Free Spirit Award,,True,True,Tears for Sale,nm1452689,Uros Stojanovic,Tears for Sale,2008.0,Comedy,815080
tt1280553,2008,Free Spirit Award,,False,False,Another Man,nm0047049,Lionel Baier,Another Man,2009.0,Drama,21796
tt0953318,2008,Free Spirit Award,,False,False,Ben X,nm0051206,Nic Balthazar,Ben X,2008.0,Drama,3324515
tt1242848,2008,Free Spirit Award,,False,False,Fantastic Parasuicides,nm1887936,Soo-young Park,Fantastic Parasuicides,2007.0,Drama,7714
tt1103221,2008,Free Spirit Award,,False,False,Fix,nm0963103,Tao Ruspoli,Fix,2008.0,Drama,23529
tt0820054,2008,Free Spirit Award,,False,False,La crisis carnívora,nm1038878,Pedro Rivero,La crisis carnívora,2008.0,Others,111898
tt0813537,2008,Free Spirit Award,,False,False,Military Intelligence and You!,nm0476600,Dale Kutzera,Military Intelligence and You!,2006.0,Comedy,36093
tt1227165,2008,Free Spirit Award,,False,False,Nirvana,nm1119972,Igor Voloshin,Nirvana,2008.0,Drama,303370
tt1092019,2008,Free Spirit Award,,False,False,Nothing to Lose,nm0474233,Pieter Kuijpers,Nothing to Lose,2008.0,Others,1478540
tt1172203,2008,Free Spirit Award,,False,False,Sita Sings the Blues,nm1315434,Nina Paley,Sita Sings the Blues,2008.0,Others,15011
tt0804529,2008,Free Spirit Award,,False,False,Sleep Dealer,nm1642796,Alex Rivera,Sleep Dealer,2008.0,Drama,227236
tt1224455,2008,Free Spirit Award,,False,False,Soi Cowboy,nm0165583,Thomas Clay,Soi Cowboy,2009.0,Drama,6943
tt1092007,2008,Best Documentary,,True,True,Heavy Metal in Baghdad,nm2448616,Suroosh Alvi,Heavy Metal in Baghdad,2008.0,Others,12111
tt1151309,2008,Best Documentary,,False,False,Bigger Stronger Faster*,nm0068106,Chris Bell,Bigger Stronger Faster*,2008.0,Others,747164
tt1078891,2008,Best Documentary,,False,False,Full Battle Rattle,nm0314155,Tony Gerber,Full Battle Rattle,2008.0,Others,28593
tt0996966,2008,Best Documentary,,False,False,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",nm0366867,Mark Hartley,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008.0,Others,236072
tt1237916,2008,Best Documentary,,False,False,Roskilde,nm1451698,Ulrik Wivel,Roskilde,2008.0,Others,55582
tt1092021,2008,FIPRESCI Prize,,True,True,The Investigator,nm1029564,Attila Gigor,The Investigator,2008.0,Comedy,104984
tt0431842,2008,Competition 1-2 Award,,True,True,Go with Peace Jamil,nm1494245,Omar Shargawi,Go with Peace Jamil,2008.0,Others,103831
tt0842675,2008,Competition 1-2 Award,,False,False,"Carmo, Hit the Road",nm1233826,Murilo Pasta,"Carmo, Hit the Road",2010.0,Others,268431
tt0920460,2008,Competition 1-2 Award,,False,False,Gitmek: My Marlon and Brando,nm2345855,Hüseyin Karabey,Gitmek: My Marlon and Brando,2008.0,Drama,66493
tt1232826,2008,Competition 1-2 Award,,False,False,Involuntary,nm1128037,Ruben Östlund,Involuntary,2009.0,Drama,745470
tt1288482,2008,Competition 1-2 Award,,False,False,Landscape No.2,nm1628186,Vinko Moderndorfer,Landscape No.2,2009.0,Others,35581
tt1281962,2008,Competition 1-2 Award,,False,False,March,nm0405551,Klaus Händl,March,2008.0,Drama,28144
tt0986232,2008,Competition 1-2 Award,,False,False,Mr. Kuka's Advice,nm1375125,Dariusz Gajewski,Mr. Kuka's Advice,2008.0,Comedy,61244
